代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型1,類型2,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％
166,摩根可持續基建基金-配權,積極型,美元,全球,國外,房地產,房地產,國外-房地產,季配,13.21,0.15,0.85,-0.12,-0.01,13百萬(美元),2005/7/18,0,4.45,11.36,12.52,7.37,17.86,3.27,25.04
169,摩根JPM新興市場債券─歐元對沖A股配現(本基金有相當比重投資於非投資等級之高風險債券),穩健型,歐元,新興市場,國外,債券型,債券型,國外-債券型,年配,7.06,0.25,0.96,0.16,0.01,"1,170百萬(美元)",1997/3/14,2.87,5.36,4.46,6.47,7.32,18.04,14.35,-7.5
173,摩根基金-美國複合收益債券(美元分派)(本基金之配息來源可能為本金),保守型,美元,美國,國外,債券型,債券型,國外-債券型,年配,5.04,0.07,1.07,0,0,"4,848百萬(美元)",2000/9/15,1.49,3.03,3.58,4.52,2.35,10.45,5.89,-4.72
174,摩根JPM中國基金(本基金之配息來源可能為本金),積極型,美元,中國,國外,股票型,股票型,國外-股票型,年配,40.75,0.28,1.25,-0.19,-0.14,"3,403百萬(美元)",1994/7/4,6.77,7.44,7.61,20.15,38.57,13.73,-0.11,-22.04
176,摩根JPM全方位新興市場基金(本基金之配息來源可能為本金),積極型,美元,新興市場,國外,股票型,股票型,國外-股票型,年配,20.13,0.23,1.02,-0.62,-0.29,"3,819百萬(美元)",1994/4/13,4.61,6.96,11.85,17.74,16.57,23.6,20.07,5.27
178,摩根JPM環球天然資源基金-美元,積極型,美元,全球,國外,天然資源,天然資源,國外-天然資源,無,13.62,0.23,0.34,-0.96,-0.15,758百萬(美元),2006/9/12,1.24,9.07,8.91,20.31,11.57,16.78,20.97,78.8
180,摩根JPM新興市場債券─歐元對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,新興市場,國外,債券型,債券型,國外-債券型,月配,7.06,0.25,0.95,0.36,0.02,"1,170百萬(美元)",2008/9/17,2.96,5.44,4.58,6.79,7.43,18.23,14.61,-7.46
181,摩根JPM新興市場本地貨幣債券基金,穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,無,8.02,0.28,1.35,-0.16,-0.03,"1,060百萬(美元)",2008/1/24,1.63,5.75,9.91,13.57,9.14,14.47,23.44,13.02
182,摩根JPM新興市場本地貨幣債券─美月配息(本基金之配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,7.96,0.28,1.35,-0.16,-0.01,"1,060百萬(美元)",2009/11/20,1.57,5.75,9.82,13.48,8.98,14.49,23.39,12.97
183,摩根JPM新興市場債券基金─美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,7.21,0.33,0.96,0.21,0.02,"1,170百萬(美元)",2010/2/22,3.19,6.08,5.74,8.03,9.6,22.94,23.14,2.73
184,摩根JPM環球非投資等級債券基金(歐元)(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,歐元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,4.37,0.37,0.8,0.06,0.17,"5,607百萬(美元)",2000/3/24,0.75,2.09,2.96,4.08,6.95,16.66,13.94,15.67
185,摩根JPM環球非投資等債基金(美元累計)(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,4.49,0.49,0.83,0.08,0.2,"5,607百萬(美元)",2008/9/2,0.98,2.75,4.13,5.47,9.06,21.05,21.69,26.6
186,摩根JPM環球非投資等級債基金-美元月現(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,4.48,0.49,0.83,0.09,0.07,"5,607百萬(美元)",2008/9/17,0.98,2.76,4.15,5.48,9.09,21.08,21.73,26.65
188,摩根JPM美國複合收益債券(美元)月配現(本基金之配息來源可能為本金),保守型,美元,美國,國外,債券型,債券型,國外-債券型,月配,5.07,0.07,1.07,0.12,0.01,"4,848百萬(美元)",2010/4/6,1.52,3.04,3.6,4.49,2.37,10.54,5.91,-4.65
189,摩根JPM多重收益基金-美元季配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,季配,8.27,0.26,0.54,-0.05,-0.06,"19,726百萬(美元)",2012/1/13,1.85,4.99,4.19,6.93,8.73,21.46,19.75,28.56
190,摩根JPM多重收益基金-歐元季配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,全球,國外,平衡型,平衡型,國外-平衡型,季配,8.12,0.19,0.53,-0.07,-0.08,"19,726百萬(美元)",2008/12/11,1.63,4.32,3.05,5.51,6.59,16.92,11.86,17.15
191,摩根JPM多重收益基金-美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,8.26,0.26,0.54,-0.05,-0.06,"19,726百萬(美元)",2012/8/31,1.85,5,4.2,6.93,8.72,21.44,19.68,28.43
192,摩根JPM亞太入息基金-美元月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,亞太,國外,平衡型,平衡型,國外-平衡型,月配,10.31,0.34,0.6,-0.06,-0.07,"1,262百萬(美元)",2012/5/25,2.49,6.96,9.59,12.13,13.6,25.17,24.42,28.04
193,摩根JPM環球非投資等債澳幣月現利率入息(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,澳幣,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,4.45,0.45,0.82,0,0,"5,607百萬(美元)",2013/3/12,0.88,2.54,3.77,5.11,8.35,18.53,16.98,20.21
194,摩根JPM多重收益-澳幣月現利率入息(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,8.25,0.23,0.54,-0.11,-0.01,"19,726百萬(美元)",2013/3/28,1.77,4.78,3.66,6.33,7.69,18.32,14.43,21.04
196,摩根JPM歐洲小型企業基金(美元),積極型,美元,歐洲,國外,中小型股,中小型股,國外-中小型股,無,20.43,0.38,1.16,-0.69,-2,474百萬(美元),2013/10/29,1.26,11.17,25.82,35.83,30.09,49.59,48.88,54.63
197,摩根JPM歐洲動力基金(美元),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,無,19.7,0.32,1.17,-0.12,-0.31,1034百萬(美元),2013/10/23,0.62,6.73,17.27,30.67,23.7,42.58,61.88,76.77
199,摩根JPM日本基金(累計)(盧森堡註冊),穩健型,日圓,日本,國外,股票型,股票型,國外-股票型,無,20.17,0.41,0.97,-1.12,-30,"3,484百萬(美元)",2006/1/11,8.31,12.34,15.02,16.17,31.91,56.26,66.96,78.15
01A1,摩根JPM日本基金(美元對沖)累計盧森堡,穩健型,美元,日本,國外,股票型,股票型,國外-股票型,無,20.49,0.47,0.98,-1.1,-4.58,"3,484百萬(美元)",2013/12/6,8.75,13.56,17.57,19.51,38.34,71.77,92.87,108.71
01A2,摩根JPM美國基金(澳幣)-A股(累計),穩健型,澳幣,美國,國外,股票型,股票型,國外-股票型,無,13.01,0.35,0.66,0.67,0.4,8806百萬(美元),2013/7/22,3.56,6.91,1.67,2.38,17.36,44.04,67.25,123.22
01A3,摩根JPM歐洲動力基金(澳幣)-A股累計,穩健型,澳幣,歐洲,國外,股票型,股票型,國外-股票型,無,17.14,0.28,0.96,0.29,0.07,1034百萬(美元),2013/11/22,0.95,3.7,7.25,18.62,17.99,33.77,46.37,79.28
01A5,摩根JPM多重收益基金-美元對沖累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,8.26,0.26,0.54,-0.05,-0.12,"19,726百萬(美元)",2012/5/30,1.86,5,4.19,6.93,8.72,21.43,19.68,28.47
01A6,摩根JPM環球醫療科技基金-美元累計,穩健型,美元,全球,國外,健康護理股,健康護理股,國外-健康護理股,無,12.34,-0.39,0.87,0.29,1.3,"3,458百萬(美元)",2009/10/2,-1.64,1.73,-8.66,-2.04,-15.08,-4.09,-5.19,8.78
01A7,摩根JPM亞太股票基金─美元累計,積極型,美元,亞太,國外,股票型,股票型,國外-股票型,無,18.79,0.33,1.06,-0.36,-0.12,"1,977百萬(美元)",2009/9/9,3.74,10.26,14.71,20.71,23.6,37.46,37,36.04
01A8,摩根JPM新興市場債券A澳幣月現利率入息(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,債券型,國外-債券型,月配,7.03,0.3,0.93,0.18,0.01,"1,170百萬(美元)",2013/3/12,3.1,5.87,5.31,7.53,8.54,20,17.15,-3.87
01A9,摩根JPM歐洲策略股息(美元對沖)A股累(本基金無保證收益),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,無,14.17,0.45,0.76,0.41,1.16,797百萬(美元),2014/9/12,3.21,5.96,11.93,21.98,24.71,47.57,64.82,105.33
01B1,摩根JPM歐洲策略股息美元對沖-A股月配(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,月配,14.16,0.45,0.76,0.41,0.76,797百萬(美元),2013/11/6,3.22,5.97,11.96,22,24.77,47.7,65.04,105.83
01B2,摩根JPM歐洲策略股息(歐元)-A股累計(本基金無保證收益),穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,無,14.77,0.39,0.79,0.43,1.47,797百萬(美元),2005/2/24,2.99,4.69,9.63,19.18,22.18,42.49,52.63,92.01
01B3,摩根JPM環球股息基金(美元)-A股累計(本基金無保證收益),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,無,13.68,0.26,0.89,-0.24,-0.64,6970百萬(美元),2007/11/28,1.51,6.36,7.61,13.97,13.24,29.34,36.85,76.93
01B4,摩根JPM環球股息(美元對沖)-A股月配(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,月配,13.56,0.25,0.89,-0.13,-0.27,6970百萬(美元),2014/9/15,1.72,6.1,5.8,11.68,12.97,29.73,38.85,86.28
01B5,摩根JPM亞太入息-澳幣對沖A股月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,澳幣,亞太,國外,平衡型,平衡型,國外-平衡型,月配,10.47,0.3,0.6,-0.11,-0.01,"1,262百萬(美元)",2013/10/7,2.38,6.71,8.92,11.3,12.25,21.78,18.03,19.32
01B6,摩根日本(日圓)(美元對沖)(累計)香港,積極型,美元,日本,國外,股票型,股票型,國外-股票型,無,19.99,0.46,0.96,-1.16,-0.64,448百萬(美元),2013/8/1,8.36,13.33,17.01,18.46,36.53,69.16,89.02,107.08
01B7,摩根JPM歐洲小型企業(美元對沖)累計,穩健型,美元,歐洲,國外,中小型股,中小型股,國外-中小型股,無,17.93,0.37,0.92,-0.27,-0.74,474百萬(美元),2015/10/14,1.6,8.84,16.14,24.16,25.41,44.53,43.06,71.4
01B8,摩根JPM策略總報酬(歐元)A股(累計)(本基金有相當比重投資於非投資等級之高風險債券),穩健型,歐元,全球,國外,平衡型,平衡型,國外-平衡型,無,4.75,-0.3,-0.01,0.02,0.04,"2,012百萬(美元)",1998/10/23,-1.72,-4.58,-5.34,-5.03,-3.79,-1.83,-2.27,-4.58
01B9,摩根JPM策略總報酬(美元對沖)A股累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,4.72,-0.2,0,0.03,0.05,"2,012百萬(美元)",2015/2/5,-1.45,-3.97,-4.4,-3.91,-2.15,1.3,3.45,3.28
01C1,摩根JPM美國基金(美元)-A股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,股票型,國外-股票型,年配,14.76,0.28,0.91,-0.19,-0.94,8806百萬(美元),1988/11/16,2.48,7.51,3.77,6.92,15.33,45.01,53.37,103.33
01C2,摩根JPM歐洲動力基金(歐元)-A股(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,年配,17.97,0.26,1,0.32,0.1,1034百萬(美元),2000/12/8,0.88,2.74,5.75,16.72,17.22,33.24,42.81,79.72
01C3,摩根JPM全球成長(美元)A股(本基金之配息來源可能為本金),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,年配,18.89,0.24,1.24,-0.36,-0.24,537百萬(美元),1988/11/16,2.11,8.46,6.11,10.54,16.44,54.08,64.17,51.16
01C5,摩根JPM美國小型企業基金(美元)A股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,股票型,國外-股票型,年配,20.19,0.04,1.2,0.11,0.36,917百萬(美元),1988/11/16,-0.62,2.96,-4.68,-1.5,2.47,9.5,7.11,29.82
01C8,摩根基金-美國科技(美元分派)(本基金之配息來源可能為本金),積極型,美元,美國,國外,股票型,股票型,國外-股票型,年配,32.14,0.28,1.94,-0.73,-0.47,8610百萬(美元),1997/12/5,1.82,9.37,0.38,11.2,31.62,62.77,80.05,88.8
01C9,摩根JPM美國價值基金(美元)-A股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,價值型,國外-股票型,年配,12.61,0.17,0.71,-0.21,-0.1,"3,970百萬(美元)",2000/10/20,-0.02,4.27,-0.37,4.83,8.38,22.02,25.66,70.85
01D2,摩根JPM歐洲小型基金(歐元)-A股(本基金之配息來源可能為本金),積極型,歐元,歐洲,國外,中小型股,中小型股,國外-中小型股,年配,19.22,0.32,0.99,-0.24,-0.26,474百萬(美元),1994/4/18,1.53,7.03,13.47,21.33,23.29,39.84,31.43,57.47
01D3,摩根JPM拉丁美洲基金(美元)-A股(本基金之配息來源可能為本金),積極型,美元,拉丁美洲,國外,股票型,股票型,國外-股票型,年配,21.83,0.15,1,-1.2,-0.6,400百萬(美元),1992/5/13,4.6,3.31,13.49,29.02,10.71,14.06,30.49,49.12
01D5,摩根JPM策略總報酬-澳幣對沖A股累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,無,4.83,-0.22,0,0,0,"2,012百萬(美元)",2016/1/20,-1.58,-4.27,-4.66,-4.12,-2.55,0.08,1.11,0.25
01D9,摩根JPM多重收益基金A-美對沖利率月配(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,8.25,0.26,0.54,-0.12,-0.01,"19,726百萬(美元)",2018/3/26,1.79,4.9,4.19,6.9,8.66,21.4,19.63,28.36
1,摩根JPM環球債券收益基金A-美元累積,穩健型,美元,全球,國外,債券型,債券型,國外-債券型,無,2.23,0.63,0.34,0.07,0.1,"12,186百萬(美元)",2014/6/2,0.94,2.15,3.51,4.59,6.26,15.13,12.05,12.69
10,摩根JPM環球債券收益基金A-美元月配現(本基金之配息來源可能為本金),穩健型,美元,全球,國外,債券型,債券型,國外-債券型,月配,2.22,0.63,0.31,0,0,"12,186百萬(美元)",2014/12/19,0.9,2.08,3.53,4.6,6.22,15.11,12.02,12.65
100,摩根JPM美國複合收益債基金A-美元累積,保守型,美元,美國,國外,債券型,債券型,國外-債券型,無,5.09,0.07,1.07,0.06,0.01,"4,848百萬(美元)",2005/3/31,1.52,3.02,3.55,4.51,2.38,10.44,5.91,-4.69
1000,摩根JPM環球非投資等債基金A-美元月現(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,4.48,0.49,0.83,0.09,0.07,"5,607百萬(美元)",2020/11/2,0.98,2.75,4.14,5.47,9.05,21.02,21.63,
10000,摩根JPM新興市場債券基金A-美元月配現(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,7.18,0.33,0.96,0.28,0.18,"1,170百萬(美元)",2020/11/2,3.19,6.16,5.71,8.07,9.56,22.92,23.03,
100000,摩根JPM新興市場投資級債券基金A美累積,穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,無,5.91,0.18,1.1,0.06,0.09,542百萬(美元),2010/11/29,2.15,4.57,5.2,6.38,4.9,13.42,12.91,
1000000,摩根JPM新興市場投資級債券基金A美月配(本基金之配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,5.89,0.18,1.1,0.07,0.05,542百萬(美元),2014/1/15,2.15,4.56,5.18,6.35,4.86,13.33,12.78,
10000000,摩根JPM多重收益基金A美元對沖穩定月配(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,8.25,0.26,0.54,-0.05,-0.04,"19,726百萬(美元)",2021/7/2,1.84,4.99,4.18,6.91,8.69,21.37,19.56,
100000000,摩根JPM中國基金A-美元累積,積極型,美元,中國,國外,股票型,股票型,國外-股票型,無,40.76,0.28,1.25,-0.19,-0.09,"3,403百萬(美元)",2005/3/31,6.77,7.44,7.6,20.15,38.57,13.74,-0.1,-22.03
1000000000,摩根JPM美國科技基金A-美元累積,積極型,美元,美國,國外,股票型,股票型,國外-股票型,無,32.15,0.28,1.95,-0.74,-0.95,8610百萬(美元),2005/3/31,1.81,9.36,0.36,11.19,31.59,62.76,80.02,88.79
01F6,摩根JPM全球成長基金美元累計A股,穩健型,美元,全球,國外,股票型,股票型,國外-股票型,無,18.89,0.24,1.24,-0.36,-0.13,537百萬(美元),2005/3/31,2.12,8.48,6.13,10.53,16.45,54.13,64.2,51.25
01F8,摩根JPM多重收益基金A日幣對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,日圓,全球,國外,平衡型,平衡型,國外-平衡型,月配,8.14,0.09,0.53,-0.09,-9,"19,726百萬(美元)",2024/8/1,1.48,3.9,2.06,4.07,3.6,,,
201,富達日本股票ESG基金(A股日圓),穩健型,日圓,日本,國外,股票型,股票型,國外-股票型,年配,15.31,0.21,0.72,1.27,4.7,"46,536百萬(日圓)",1990/10/1,7.52,9.66,8.55,6.48,11.92,24.7,36.02,67.38
202,富達亞洲股票ESG基金(A股美元),積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,年配,17.98,0.31,1.09,0.08,0.01,"2,896百萬(美元)",1990/10/1,4.36,8.59,13.93,17.94,20.65,21.09,15.56,12.96
203,富達歐洲基金(A股歐元),穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,年配,11.91,0.27,0.58,0,0,"8,647百萬(歐元)",1990/10/1,1.08,-1.03,-0.8,7.16,12.33,29,35.27,56.16
204,富達美國基金(A股美元),穩健型,美元,美國,國外,股票型,股票型,國外-股票型,無,9.83,0.06,0.6,0.12,0.02,"3,132百萬(美元)",1990/10/1,1.64,3.53,-1.47,2.26,2.76,15.78,15.3,62.74
205,富達德國基金(A股歐元),穩健型,歐元,德國,國外,股票型,股票型,國外-股票型,年配,15.91,0.52,0.8,0.12,0.11,"1,269百萬(美元)",1990/10/1,1.35,4.53,10.41,22.09,33.19,50.17,57.07,54.14
206,富達東協基金(A股美元),積極型,美元,東協,國外,股票型,股票型,國外-股票型,年配,17.27,0.22,0.97,-0.21,-0.08,831百萬(美元),1990/10/1,4.25,5.15,10.58,9.93,13.89,23.21,21.17,40.01
209,富達南歐基金(A股歐元),穩健型,歐元,南歐,國外,股票型,股票型,國外-股票型,年配,9.94,0.86,0.44,0.46,0.6,237百萬(歐元),1990/10/1,6.16,10.56,20.86,30.81,35.15,67.71,85.82,103.54
210,富達義大利基金(A股歐元),積極型,歐元,義大利,國外,股票型,股票型,國外-股票型,年配,17.78,0.48,0.98,0.57,0.43,390百萬(歐元),1990/10/1,4.65,7.14,16.65,28.91,33.76,51.93,82.58,132.72
211,富達北歐基金(A股瑞典幣),穩健型,瑞典幣,北歐,國外,股票型,股票型,國外-股票型,年配,14.24,0.12,0.4,0.17,4,530百萬(美元),1990/10/1,1.85,9.18,5.64,11.64,6.45,29.57,39.71,109.16
214,富達歐元債券基金(A股歐元)-配權,保守型,歐元,歐洲,國外,債券型,債券型,國外-債券型,年配,5.22,-0.05,0.17,-0.4,-0.05,"1,058百萬(歐元)",1990/10/1,-0.23,0.09,-1.02,-1.02,0.25,9.43,-2.37,-11.99
216,富達澳洲多元股票基金(A股澳幣),積極型,澳幣,澳洲,國外,股票型,股票型,國外-股票型,年配,13.67,0.29,0.94,0.3,0.3,533百萬(澳幣),1991/12/6,3.61,6.27,4.15,9.58,14.95,29.38,33.59,62.38
221,富達泰國基金(A股美元),積極型,美元,泰國,國外,股票型,股票型,國外-股票型,年配,20.85,0.06,0.9,-0.63,-0.24,115百萬(美元),1990/10/1,5.44,6.31,5.13,-2.7,3.86,-8.13,-14.41,-11.9
223,富達全球債券基金(A股美元),保守型,美元,全球,國外,債券型,債券型,國外-債券型,年配,6.6,0.08,1.37,0,0,"1,928百萬(美元)",1990/10/1,0.94,2.38,4.87,6.53,2.87,8.96,3,-12.47
224,富達新興市場基金(A股美元),積極型,美元,新興市場,國外,股票型,股票型,國外-股票型,年配,18.14,0.26,0.99,0.43,0.15,"3,064百萬(美元)",1993/10/18,5.05,11.99,17.21,22.3,17.18,32.51,28.43,13.74
225,富達拉丁美洲基金(A股美元),積極型,美元,拉丁美洲,國外,股票型,股票型,國外-股票型,年配,20.41,0.1,1.06,0.62,0.19,366百萬(美元),1994/5/9,3.63,2.54,12.11,30.52,6.55,9.84,15.15,28.52
226,富達太平洋基金(A股美元),積極型,美元,亞太,國外,股票型,股票型,國外-股票型,年配,19.15,0.44,1.19,0.39,0.19,815百萬(美元),1994/1/10,6.59,18.9,19.8,26.36,32.48,34.93,26.25,29.58
229,富達印尼基金(A股美元),積極型,美元,印尼,國外,股票型,股票型,國外-股票型,年配,19.69,-0.1,0.96,-0.96,-0.22,174百萬(美元),1994/12/5,5.62,3.3,7.74,-0.75,-7.35,-9.97,-9.79,11.41
231,富達全球主題機會基金(A股美元),穩健型,美元,全球,國外,股票型,股票型,國外-股票型,年配,14.57,0.27,1.04,-0.05,-0.04,"1,734百萬(美元)",1991/12/31,3.17,9.31,7.85,13.48,14.8,32.61,30.73,42.14
232,富達歐洲小型企業基金(A股歐元),穩健型,歐元,歐洲,國外,中小型股,中小型股,國外-中小型股,年配,16.11,0.08,0.76,0.06,0.04,"1,567百萬(歐元)",1995/12/1,-0.24,2.34,1.77,6.15,4.51,15.3,8.73,34.2
234,富達美國成長基金(A股美元),穩健型,美元,美國,國外,股票型,股票型,國外-股票型,無,11.89,0.15,0.72,0.3,0.3,947百萬(美元),1997/6/30,2.25,6.96,3.89,4.02,6.95,25.14,29.71,58.87
235,富達瑞士基金(A股瑞士法郎),穩健型,瑞郎,瑞士,國外,股票型,股票型,國外-股票型,年配,16.51,0.02,0.96,0.23,0.18,232百萬(瑞郎),1995/2/13,-0.34,-0.62,-4.8,4.84,1.13,10.15,5.98,12.54
243,富達世界基金(A股歐元),穩健型,歐元,全球,國外,股票型,股票型,國外-股票型,年配,17.77,0.19,1.16,-0.27,-0.12,"6,279百萬(美元)",1996/9/6,3.93,5.56,-0.31,3.38,12.26,31.62,25.59,64.42
244,富達美元債券基金(A股美元)-配權,保守型,美元,全球,國外,債券型,債券型,國外-債券型,半年配,4.92,0.05,1.16,-0.1,-0.01,"5,003百萬(美元)",1990/11/12,1.44,2.45,3.16,4.39,2,7.92,3.67,-7.4
245,富達歐洲非投資等級債券基金(A股歐元)權(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,年配,3.4,0.59,0.66,-0.02,0,"2,751百萬(歐元)",2000/6/26,0.85,2.55,2.72,4.42,8.44,19.67,22.98,19.15
246,富達歐洲非投資等級債券基金(A股歐元)現(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,3.41,0.59,0.67,-0.09,-0.01,"2,751百萬(歐元)",2003/6/9,0.83,2.5,2.67,4.38,8.39,19.61,22.95,19.16
247,富達歐元債券基金(A股月配息歐元),保守型,歐元,歐洲,國外,債券型,債券型,國外-債券型,月配,5.14,-0.04,0.2,-0.29,-0.03,"1,058百萬(歐元)",2003/6/6,-0.16,0.17,-0.9,-0.96,0.31,9.52,-2.33,-11.94
