標題,連結,來源,時間
15縣市大雨特報！氣象署：雨勢持續到晚間| 生活,https://news.google.com/read/CBMiWkFVX3lxTFB0U3Q4WXkzVno0NGpYTGhpWVdNc2RMZlBRMEJPOVFoQVM4WWJ3c2NNY3FCR3JhaWdxMUtBRmxzZ2hsNE1jSXI5Q3p2RE1wTDgtcWFaeEVFZ2Y3UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月25日
日本石川降警報大雨能登災區河川氾濫道路淹水| 國際,https://news.google.com/read/CBMiX0FVX3lxTE53SWJuMFJLMjd5ZlBxMUk5YVBZT3FBbzk3MmtsN3EwWFBDb25pQ3VsY0l6cHZBSkNaNVBiOWhNTUxnbWk0OVlpOU1qRlRxT1Q4LTNSUmNRZk5fY1kweHI0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,1 小時前
快訊》大雨特報再擴大！4縣市大雷雨再轟1小時氣象署發災防告警| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9JN2o3RDZRbmNSTWh0ZXktTVhKa3gyOFF4NEJCNDF3N3J3b0k0UmFDTUUyTTYxTEZmaVl4M0h1cjJwbWxmZVE4NEZqdTRtYXA3S3lWRzNWSlRzQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月31日
疑受大雨影響日本千葉縣國道部分路面下陷| 國際,https://news.google.com/read/CBMiX0FVX3lxTE5MZktyWHdhdDZkRWY3eHlDWVhoUGhJY2ptM1MtZmV4WWREaDFXX1p4Mi1RNWJRbmNvNGhTaTZiYTFfS0hManFWZy1ROXVyUHNKemRBcmlGVm9POWFmRkI0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,17 天前
3縣市發布豪、大雨特報！季風低壓環流雨帶來襲今起雨下到下週二| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1tbHVFemxueXNqR1dWM0ZtbTJTWnZmU3hJYU9lbEZCRjh2MjBHNG0tLUtaODVjeVBWTHphTlZDa3pHR1pCQXBtWnNkN1F6MDhNcGNqVkNadjFrZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,昨天
印度南部大雨成災已知19死140班列車停駛| 國際,https://news.google.com/read/CBMiX0FVX3lxTE1EREpRSHFDZTRual8xZzl1V2JmRFBKdy1wRWVNT2dEYUsyamx3UHAwdHUzMktpMTNJTXVodENUVVZidFJtdzJhYTFCZWVaT2R0dVNqcWdNT1FyZUdGRmR3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,19 天前
颱風珊珊襲日釀6死127傷轉低壓後仍須嚴防大雨| 國際,https://news.google.com/read/CBMiX0FVX3lxTE0zRVUySTlkQVlqLTRFazdNUnZhdDhUSEl6ajVYeWVpT1kzaE93VHJKRDJDTXlXbjc4ei1WeG0xcnFRRDM0RDZxd0U5MFA1V0REeU94MFlrT2o2TU5zVllj?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,20 天前
蘇丹豪雨成災大壩潰決 至少132死,https://news.google.com/read/CBMiX0FVX3lxTE9tQUZpSi1BT0JJd0hPM1Vyc0VDcWtNU1FVZlQ2YmJRUUZGXzJzMERyeVBKeGRQUHRJSUw1WnV5dVVzenlQekJRNnp4dllnSlpZOE1OUFhxMzBBYXhNLTA4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,8月27日
中東歐連日豪雨釀洪災 羅馬尼亞4死、捷克、波蘭防洪｜#鏡新聞,https://news.google.com/read/CBMi-gJBVV95cUxPVkdoeDVXY01rUUthVEY5ZEc5LWh5c3oxU2UycTVOXzV3MlROT3hmbGlzXzN0R2NxWWlHZUZGdHBSbW80eVF1SXNUdXFDNHUxaHBkdXRIVFhwRm9mLUJTR29QZW9tdEkwd2tZc2Y4Qkp2Nnk1a0NyQXFfQm9iVGRpcGFxMnltYTlCc0lxbGVZZ05sQjZkZ1Q1YkJnVUtGU0tiVmIzNmVSdTBvbF9sYlpZRVcwZjVEUDhxbWhOSjFEUF9tbXpnaTEwWWprUFd0TmxHUGJhSXdoN1MwSjRaQ0t0UUExdkFxWFNNZExKN2xWNUtQbzB4SHM3VlB3Y3NXWGlrNkpOQk5BNThvdHp0d3NfZ1RJMUtTcUdYTkZZZDFJeVYxbWdlcHhfNGxKVzV3Umlvbll1VFExYWRna0haLXV4VWRrbTJHbWdPb3J2NnpocWwwbVlvNGpmOEtHbkdvVmM5MkFRbmFGVVV6ZkZ5bHJUcTBoRDRZREtOc0E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,6 天前
台中國際踩舞嘉年華豐原登場 大雨澆不熄熱情！,https://news.google.com/read/CBMiXkFVX3lxTFBxNW4wdHR5UlFqc3psOGNYVlFkNXk0NkZzSmc5OUQ5Q0NoMElBZExESXUwZkE5SFA3dEp3SHdCc1lKa25FTncycko4bE9ObHpFSEFFbTlRUkNJWmR1cFHSAWhBVV95cUxPc3FDZGYxdWlpUGpxamxHeEc5QXFBN3RIRVpKOVdpeUFHQWJPVl9LYk9ZaXoyNXdNdHAtaG5FVmhTRHBHSms2eHNqUG8yTGFkMFhpZ3hMM2tINFoyenhrcnlpTnFCbjhwNA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,ETtoday新聞雲,6 天前
氣象局急發警報！11縣市大雨特報多縣市遭大雷雨襲擊| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9nVFdBX25kdTZzMjQxWDRFS2gtREl5ajVmOWpDbkhwQzdSZmF1YjhwVXJZSUFGS1h5WGJ5Q3IxMmp0TE5pRDZSTzFlZ2lCZEVqTmZWaWRkdTFMZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,15 天前
颱風珊珊逼近日本北海道大雨、東海道新幹線一度停駛| 國際,https://news.google.com/read/CBMiX0FVX3lxTFBoT29kckZmbmVvbWF0QzRTVmpxc05wcTdRZzlZcUc0Q0hYN0Q1OGM0alcycHQ4emI4a1BiMXlSZUZyd3p6TkVfOHRRNElVaHpIRWl4Q3JnWWY2N21HOUtr?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,8月27日
奈及利亞大洪水逾20萬人流離失所170人死亡、蘇丹大雨大壩倒塌災情慘重| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5rLXpiQktQLVZSVzI2dWJuNDZnWl85NFh6UE91eWllOVNsYVJuNThJTDI4WERHVUpfLV96TE5aMUhISDRFVUtndTNSZmZiWjdZN2N5cUxkVVA5dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月28日
連日大雨襲中東歐! 釀近百年來最嚴重洪災| 國際,https://news.google.com/read/CBMiXEFVX3lxTFBhMk9Jd2pUTktIeUpLQkV4MGtZWHNiMV9CUUw1RURQTG1HM3ZSOEdvUVNROTlGYWR2S0Z3c1NWRmJTNDRqLWUwdkhrU2wweUZMQmk3MHhUck5TY1ZR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,非凡新聞,3 天前
《3×3》大雨澆不熄奪勝決心 3×3臺北旺寶職業籃球隊勇闖高雄挑戰賽八強,https://news.google.com/read/CBMiqwNBVV95cUxNTkFGRDhyVzFJMlN5ZDV5Wjk2ZXlsTDl4Z0Q1OEdsT0hTVVgxVWZCcE82ekpoX3pyb0Q4S1UxYkpzdy1ENnB1b3M1SWRNd1hfMVBIZkp6b05GZUNsaDd5YUhlMFktenNHQzFkaUJpTE55czFlOVQ1MHpGVVU1elhHbldCNGk5ZjNGRnhqUzhsTF9FRzl4MmRmSUFZak9EYUFXcllxZWl6XzBUZE93TDFCek03cjA5QUtLTnJtQmtuR0JCemFhZU9YSXFSNklxUTg0OExzbzFhWWx5bFR1bjExeW84MmVTVU12MDBrWXEzRXBOVHlmMV9rbmtzUGZ2LXdraDVQWFFYS1dIdmhQOXJCVG9qanh5UEU3RTJublJ6SUFyTE9xM3ZidkpTUGZ4X1ZPOF92anZSbHpud3NjNENOSEcxOVVnTVdsaVdScFc0akZVUk5OdFNfWEZfRW9ucDdtcnVPeG1jUzlwLW1fUVNtWmV0aTdiR0l4RHZ4aGQwLUVyV1FZMDhjaGdXdU1pZE5vRnJoR1VpdDAwa1F3VkZYSW53dzREWWxvMllF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩運動,7 天前
大雨轟炸日本戶外音樂節7工作人員遭雷劈傷| 國際 | 2024-09-09,https://news.google.com/read/CBMipAJBVV95cUxPU0RNQ01waTlOWVFhNDl1bzBJelFYM0kxbHJzQkVJOVBjVkRUcjVMYVlDbnlMSy1lSFcyTG1tR1dmLXd3cjRuSUtRcHJvZS1NVzFma0YtSUlZUHZxb0JfakM4MncyaDk0TzNYVjJjM1BmMmItTk1iT1EwZ1hXcnFCanJ2b3R5MGJZMzF0M0QtRWw4U2JKNjM0Wl96SllQWHVpZU9RLWQwbWtRbXhyNzlTdHB5T0FlY19MalgtaEdxZ3lGY0VzMHVIdEFMYkhVdGd5NjR5dGgyc0MyV0tVdkFneDJDOGtyQndYVUhFM3NaMElLNlBITjJLSlE4QU4zWlVmUkxwZVYzSkZ3bnVnakhGLXpSZnZKdm5idDFsb1FvQldENkZF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,12 天前
暴雨襲東京 地鐵站成蓄水池、馬路變小溪,https://news.google.com/read/CBMiV0FVX3lxTFBVNmJWckt0UV9WN2ptTHBjMkVrMHR0SEZQclpfbldnU3VaYVFNZVpOemdtVWpzN2h4eGhUMEgtZHRIRERmWDU1azNSNXk4Szd4UGVDNWFJcw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,台視全球資訊網,8月22日
雙颱對台無影響!今午後防局部豪大雨海邊活動注意長浪| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1jRWFweDAxLUFVUDBQa2hIVFN1cXlucDVFUUtjcmcySmRmT2RMWGwzZUdURno3LWhUMW13cGdIYjlIRlVlQ21ZaWV0VWtKZFpKSXAtcFFQeTQ1Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,14 天前
19縣市大雨特報！氣象署：6縣市大雷雨持續一小時| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1PcUFpYTlVeWhzYXlNOThBZmhGQUxCcm55dnMwcFJoWWFHU05GazVqbExqYWJaYnFibGExNjlucUhSRjFXdlc2YTlwTFlrVkpaUFh4NFlCTFg3UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,13 天前
(影) 4.7級地震、龍捲風、大雨中國異常天象頻傳民眾惶恐不安| 中國,https://news.google.com/read/CBMiWkFVX3lxTE5pckNHOW9GT29SdDZ5TkJBUUdQTDMzRW9sb2hhRWtrdWhWMFpzMlRSWW8yTGd3OF9tOVpHZEYySWJPeXh2UTA4cHVTdFNzWjNwSnoxOW9EWWt6Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,2 天前
本週天氣不穩定外出帶雨具！低壓接近台灣水氣多、午後容易下大雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTE8yS1lpSEVGektGaE1sMTNvRGwxbjlPS0ZsTlRkellfdlViSVRObjVvYllwUm1RTTdSWDJMR29NVDhkQlRHdy1MUDYwNmdLa0VDYVJRQ1UyRER6QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,12 天前
雨彈突襲！13縣市大雨特報 4地區列「大雷雨警戒區」,https://news.google.com/read/CBMiWkFVX3lxTE14ZElCMVR0aTVRaHBIanhtb0JZTkZTTUpBaVJuUk9qUWxYUWwyTHpJN2xBRmFDT3pVVmI5cllBT0hnNGtqeHhqTVI3bmtlOFhES2JqZlk0V3FBZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,14 天前
馬里連日大雨釀30死 5萬人遭受洪澇災害 宣布進入國家災難狀態,https://news.google.com/read/CBMiqwNBVV95cUxORkRRZDRWdVFDRThIVFNscWx5V2ZKczhObllfNTRiWklvcWdoT2FMX2dsREdXMkZObU5fUlhvRzJJcFpYaFRyNDZVc3JPcV9KOFRnQXVSU3dwc0ZCVTFtZUdXZWFITmxaMVNQVF91TXpiMHJUeUNfczZCaU5TQm03aUk2X2lLVVN5QmxfR2lQUE9ob1BrUDFjMnJWSWRORnVvRGNFR2hQdXlxVmNuQzlYc3ppLVRuQm5ocUtpcVBpUkFnWEZNMExjTkNuS2pXb2NXYlBzYVJZSE55UUxMMEk1RXdNMUhOVWRCVVFSQWludmNIRmdaandLVzB2Rk8wYTZCei15TjcxMmFQbGdwYWFSTWNiTzJsQ2hHUFd5TGFRVFNYaGZNQU1GQVZ3UVFCb21mLXB3SjB1SVU0dlN3Qm11XzFpdXV1Sk5reXBzMzgyemhpQmFob2RZbUJ5T0Z5WEZybGRqQ05tdmd6QUQ1dUlrX1lXQkxGZkNCTmRnVjN0aS1NTk0xcTdNSlpaMjBmZ3hfWS04dFh5aHZHcVRLa3JPSEtoZUxMcGh6UG1N0gGKAUFVX3lxTE9UWUM3ak1jR0J3bDNud01GRFhlZEo4bW1IQllCcGRsNlY3aXRzY1d1ZlNwTEFWRTRiRnp5dDBHWmRQQjN5ZU1UMzhvSnZ4ZHVpSVRKaTNnS2laLVZNVHQ4QUVueHZpaXAwNk80amRrRXFFaVExdTNUa2RGamo5R3pyN2dyd2pUeXJSQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,星島,8月25日
VOA國際60秒：2024年9月9日,https://news.google.com/read/CBMiVkFVX3lxTE1TZVg5Wm5NdV9zSHpISjdiSklmanItaXQ5S2NJS28wazhBOXZ1SWNIcFdoNDR2OGJMZW1pblF3dkJJRDdmcVpheDByQWNaYUR0cW1WNEln0gFYQVVfeXFMUEtwU1RZQTNoVkpwbTdoWHM5Sld2eDN5WGNUaVRpQnFxSEdUS2hnR1QxRHNVdDZ6d1JYc0M2MWl1YTQxNTd3bWZSTldNZV9HSDdCRWVJX3o0ZA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Voice of America,12 天前
U23世界盃》中華隊大雨中3比0擊敗委內瑞拉2連勝 12日起打排名賽,https://news.google.com/read/CBMiREFVX3lxTFA5aXdTY3d4Sk5SZXBVSGpQcnhyR2RYMEpybUU0RmZhRnAtZVBnMHozWElmczhpMkV6aVg5N1NCQXpCTXJv?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,TSNA體育新聞團隊,11 天前
遊日注意｜超強颱風珊珊料橫掃日本恐釀世紀豪雨 山泥傾瀉活埋一家五口4人下落不明,https://news.google.com/read/CBMimwRBVV95cUxNZHh6VzU3dkNMcXl6YndfR09Ba1JSVU5hOUh0Tkh4N3A0ckpYbThaMUpaYTgwaU9KckV2YnIwRkIzUmhkN21Ba05ySnd2RUtEWXM5T2NGWGY4UG9Cc3c4QWtIZjJIeTBoY2NYZmFldF9iU2l1OE1yWTB2Q3BRWE92R1QzZHYtVWFqSnpQLWlSRk9fLXNCZFRBOHR5Z0VUbUxYaklwVHY4dlhSRnRrX0lDSmFmSzVuRWVUQ01EM3VTNE85MlVkemcyUVZCeFFuVHd1eVNPNkQ0SHlSN1BWWFQzSkI4cW5yOUFFN3dHYTlydTJkQVV5Z0VaNzhjUWs1b1MxWUhQbXdlM3BoNGdSWTlEa0wyRjFxZDg3VWdQUXRwZ2d4MXpVbGprR0hibXYxVFBtUk1LUXZSTEQ4eVlfR0I5TUlIR1dGSnhITE5mMk5RQXBzM0ZGaWkwQTY5NkRXRWxiTmlITlhZYmZDVEVzNl85MEszc09sRU9MSE1aeFpWNFozYjlQcjdpNTVkN2lvblFicmdSZGY2UzNlNUFOUUdwdnBLLWg3TWU5N2llUU85STFOX0dyckpKR2xjVVpMcDdmMnZWakZjUDRucndMQmlSYjVET09HWElrbnBnVkFjeS1TeDdta2dZTHRwWXZRQUNXbjRyNVFnWUd6WHFuOU1WOXEtZFhyZlhscUtvRXQ4dzI4YnluYktGZ1owTQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,香港經濟日報 - TOPick,8月28日
孟加拉、印度北部豪雨成災 至少36人喪命、近450萬人受災,https://news.google.com/read/CBMia0FVX3lxTE5ZZXA2cmFxRFhPTHhQVnNzZUlMNjFLRVhzempGZlU2Q2NMRTR1aEZpTlVGTTJMMnBFQUVjVDY0bU9vZnhuSFlJRVg0dDQ3OWthd2t3SW5UUndwbFFNVE91MG1SZm1vM1hYR2Z3?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,上報,8月24日
日本颱風｜「珊珊」雖減弱 影響持續 遊兩大地區小心大暴雨,https://news.google.com/read/CBMivANBVV95cUxOZWU2bVVTR0U3V3hhMUVGS19ubU9FUWluZ2JCN2ZHWWlkX2k4Q1VXdVcyU0tlbHByVGduVmROVU8zYmFaRHAzTU4taWVLdktmUnVNNWF6OEdMMXBSR1RXVTNJdHZqaFp2aW1GekplMzZZakpySmg1U1VoQlhhaldYVjNHaENRc2NmTm1Ma19MeXl2cm5BdXhvRDRlRFpYM1lqRTNDOHVuaVI4Z3BXOFFjckROcnJsc2dRM003LWE2T05kV0daTmV2SkVSWjZFekVqeHRSazY3TFhacy1oU25GMWtSS3JYckhaX2lzNGRoZEFVWkFuZkNHYUJFdFEwWjJfVE10eGpsWEtmVnN3TkVwMnVFSTd5Qkg1N3ltN0dWNEdDM3RmaFp2c19QQjlweVhyRXl3YUEtOWJHVFVuSnhmVnQ1d2U1bVgtN0picmFqSDZSVnlUTzc1el9GSnpPamZDQjNIVVZ1TkFJcUpYVzNzQzFtTUlQSHlhZUt2dW5YN1RNNXZVZE1VdWJ1VERPSmhaOExrcjlkdzBlN2NRdVlPdWE4S2xNMHBfUE8xT3Z2YmJNWG8tUDlhSldfOEc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,香港01,19 天前
風暴珊珊逼近日本九州並帶來大雨 愛知縣發生山泥傾瀉4人失蹤,https://news.google.com/read/CBMib0FVX3lxTFBTWm9qOGo3d212bUhrUDJTWl9GWEcwNGVmNHR3REVZdE9NWHRWeU5TMmxpcHdLYzhzcnVtMU56TEZEUVFZcERGU3FnaEp3Q1lqWmQweTVBQnpzdTBsT3diT2lzNkV0N1c1Tmlpbk4tSQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,香港電台,8月28日
阿聯酋及迪拜落大雨 引發水浸及航空受阻｜國際｜商業電台 881903,https://news.google.com/read/CBMiXkFVX3lxTE1sYUMwbWV1b29uZFVSM21aWDdObjdxQ3RBMUpyUHgtR0tIX1BWZk9WTnZIdVZwLXd1TnY3QmEtQ0Y0a096U3FsVWlwSHlrbEVlbjBzUGx0ZW4zVXg0RHfSAWNBVV95cUxOc0R5empfSjVOWEQ2WXdtS0J6TEYwWFc0ZTZQQ0tmSjR4Z0RJaWliOFpVaV9fWlJkSldQV0hzSy01YmJvZ0o2NmhjRnlYZC00REI2bElBejFrQzVwejRRYXFTRlk?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,商業電台,18 天前
