標題,連結,內文,來源,時間
暴雨狂炸全台16縣市！氣象署曝「南部這二處」恐成豪雨重災區| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9WXzRMUE5RWUpqZzZIWmZ5Yzg2dlV3WTZ0bWpqR1hqaTU0bTZvYnpNcFQ2NVRlTXR6RnBOT0RRYk5VYnhqVnI3VTNXbHRObC1wT3B0TnFUUTBaUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署今日下午4時05分發布最新豪大雨特報，全台16個縣市面臨強降雨威脅。南部地區情況最為嚴峻，高雄市、屏東縣已達豪雨等級。因受熱帶性低氣壓及低壓帶影響，短時間內可能出現劇烈降雨，低窪地區淹水風險大增。民眾應提高警覺。
根據氣象署最新觀測，降雨範圍持續擴大，影響地區遍及全台。除了南部的高雄市、屏東縣面臨豪雨威脅外，北部的基隆市、台北市、新北市、桃園市，以及東部的宜蘭縣和南部的台南市、恆春半島等地區，也可能出現局部大雨或豪雨。
氣象署表示，本次降雨將持續至23日清晨。除了已發布豪雨警報的地區外，新竹、雲林、嘉義、花蓮、澎湖、馬祖及台東山區等地也有機會出現局部大雨。
各地區的降雨預報如下：
1) 大豪雨：高雄市、屏東縣。
2) 豪雨：基隆北海岸、台北市、新北市、桃園市、台南市、恆春半島、宜蘭縣。
3) 大雨：新竹縣、雲林縣、嘉義市、嘉義縣、花蓮縣、台東縣山區、澎湖縣、馬祖地區。
中央氣象署今日下午4時05分發布最新豪大雨特報，全台16個縣市面臨強降雨威脅。   圖：氣象署／提供
中央氣象署今日下午4時05分發布最新豪大雨特報，全台16個縣市面臨強降雨威脅。   圖：氣象署／提供",Newtalk新聞,6 小時前
中東歐連日豪雨釀洪災 羅馬尼亞4死、捷克、波蘭防洪｜#鏡新聞,https://news.google.com/read/CBMi-gJBVV95cUxPVkdoeDVXY01rUUthVEY5ZEc5LWh5c3oxU2UycTVOXzV3MlROT3hmbGlzXzN0R2NxWWlHZUZGdHBSbW80eVF1SXNUdXFDNHUxaHBkdXRIVFhwRm9mLUJTR29QZW9tdEkwd2tZc2Y4Qkp2Nnk1a0NyQXFfQm9iVGRpcGFxMnltYTlCc0lxbGVZZ05sQjZkZ1Q1YkJnVUtGU0tiVmIzNmVSdTBvbF9sYlpZRVcwZjVEUDhxbWhOSjFEUF9tbXpnaTEwWWprUFd0TmxHUGJhSXdoN1MwSjRaQ0t0UUExdkFxWFNNZExKN2xWNUtQbzB4SHM3VlB3Y3NXWGlrNkpOQk5BNThvdHp0d3NfZ1RJMUtTcUdYTkZZZDFJeVYxbWdlcHhfNGxKVzV3Umlvbll1VFExYWRna0haLXV4VWRrbTJHbWdPb3J2NnpocWwwbVlvNGpmOEtHbkdvVmM5MkFRbmFGVVV6ZkZ5bHJUcTBoRDRZREtOc0E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,歐洲中部和東部最近受到熱帶風暴的侵襲，捷克、波蘭和羅馬尼亞連日暴雨，羅馬尼亞甚至有4人死亡，捷克當局更表示，這場風暴帶來近50年來最多的雨量，至少上萬人被撤離。但全球氣候異常，另一邊南美洲的巴西野火不斷，全國6成的領土都壟罩在野火的濃煙下。,Yahoo奇摩新聞,7 天前
氣象局急發警報！11縣市大雨特報多縣市遭大雷雨襲擊| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9nVFdBX25kdTZzMjQxWDRFS2gtREl5ajVmOWpDbkhwQzdSZmF1YjhwVXJZSUFGS1h5WGJ5Q3IxMmp0TE5pRDZSTzFlZ2lCZEVqTmZWaWRkdTFMZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署今（6）日下午對多個縣市發布大雷雨即時訊息和11 個縣市大雨特報。氣象署進一步表示，苗栗、台南、高雄、南投、屏東等地區需警戒劇烈降雨、雷擊和溪水暴漲風險，提醒民眾多注意天氣變化。
氣象署於下午 15 時 11 分對苗栗縣發布警報，預計持續至 16 時 15 分。緊接著，台南市和高雄市也在 15 時 28 分收到警報，預計持續至 16 時 30 分。
南投縣於 15 時 35 分接獲大雷雨警報，預計持續至 16 時 30 分。而台南市、高雄市和屏東縣則在 15 時 41 分再度收到警報，預計持續至 16 時 45 分。這些地區的民眾應特別留意劇烈降雨、雷擊等天氣現象，同時也要謹防溪水暴漲和低窪地區淹水的可能。
除了大雷雨警報外，氣象署也在下午 15 時 30 分對 11 個縣市發布大雨特報。受到午後對流雲系發展旺盛的影響，雲林以南、花蓮、台東、苗栗、台中及南投等地區都有機會出現局部大雨。氣象專家提醒民眾，外出時要特別注意雷擊和強陣風的危險。
大雷雨即時訊息的示警區域相當廣泛，包括苗栗縣的苗栗市、卓蘭鎮、大湖鄉等 12 個鄉鎮市區；台南市的西港區、七股區、新化區等 18 個區；高雄市的田寮區、阿蓮區；以及南投縣的南投市、草屯鎮、竹山鎮等 9 個鄉鎮市。
而大雨特報則涵蓋了更多地區，影響時間預計從 6 日下午持續到晚上。特報範圍包括苗栗縣、台中市、南投縣、雲林縣、嘉義市、嘉義縣、台南市、高雄市、屏東縣、恆春半島、花蓮縣、台東縣，以及蘭嶼綠島等離島地區。
氣象署特別提醒，由於午後對流雲系發展旺盛，容易出現短時間內的強降雨。民眾在外出時應隨時留意天氣變化，做好防範措施。特別是在溪流附近活動時，要格外小心溪水暴漲的危險，並迅速遠離溪流區域。
氣象署今（6）日下午對多個縣市發布大雷雨即時訊息和 11 個縣市大雨特報。   圖：氣象署／提供",Newtalk新聞,16 天前
一週天氣一圖掌握！氣象署：北東部週一、二仍需嚴防大雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBJanpxNHlibzRnRG5UTU1xb09nNk5zM3J2bmhBYVVkc1htRThFN2I0Yzgzbkp0SVlKUDk3SXp4d0NwdW5TWl94dUZuU1kzRk92RnRDWFZYTEw3Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署最新預報顯示，週一（23）全台將受低壓帶影響，各地有陣雨或雷雨，北部及東部地區可能出現豪大雨。週二起低壓帶逐漸遠離，天氣轉為午後雷陣雨型態。氣象署特別提醒，週一各地需警戒驟雨、強風、閃電等劇烈天氣現象，低窪地區應注意防汛，山區則須防範溪水暴漲及坍方風險。
根據氣象署逐日預報，9月23日白天至24日清晨，低壓帶影響最為顯著。西半部、宜蘭、澎湖、金門、馬祖全天將有不定時降雨，花東地區則以午後降雨為主。桃園以北、宜蘭、花蓮、金門、澎湖等地區更可能出現豪大雨，中南部及其他山區也須提防突如其來的驟雨。
氣象署特別提醒，台灣海峽包含澎湖、金門、馬祖地區需注意強風大浪，陣風可達8至9級。同時，由於天氣不穩定，各地易出現又大又急的局部雨勢，低窪地區應注意防汛。山區溪河流域則有溪水暴漲風險，山區活動者務必提高警覺，注意天氣變化。
9月24日起，隨著低壓帶逐漸遠離，各地天氣將恢復至多雲到晴，主要降雨時段集中在午後雷雨。然而，中部以北、宜蘭、花蓮地區仍需防範局部大雨。25日起，北部、東北部及金門、馬祖地區較易下雨，中南部及花東則維持多雲到晴，午後有雷雨的天氣型態。
26日至29日期間，受東北風影響，北部、東半部、馬祖將持續有短暫陣雨，中南部則為多雲到晴，午後易有雷陣雨。氣象署提醒，週末是否會再次受到低壓帶影響仍有不確定性，民眾應持續關注最新天氣預報。
峻 全台下週一、二仍",Newtalk新聞,4 小時前
ONE OK ROCK國體場開唱遇大雨看台區漏雨問題運發局允諾改善| 生活,https://news.google.com/read/CBMiWkFVX3lxTE5EV0Vad015STZqbHJscUtkWlRhQVJ0SGRlLUZ3VWhGUEpHcVIyVnNuTVJRNUdpbEFPWEdtcU5mMFZidnQ3US1oV3JndTVxb21LMjVXWEY2LXRfUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"斥資52億元興建的高雄國家體育場(世運主場館)，近年被高雄市政府刻意打造成為演唱會聖地，吸引全台不少歌迷前來朝聖，卻也暴露一些缺失，日本天團ONE OK ROCK昨晚的演唱會，舞台頂蓬因積水出現瀑布宣洩情形，影片被歌迷在社群瘋傳，市府今(22)日表示，這次演唱會遮雨棚部分屬於主辦單位搭設的舞台頂蓬，並非場館的遮雨棚，舞台瀑布是主辦方搭建問題。
火星人9月7、8 日在高雄開唱，兩天共吸引10萬人潮，其中一天遇到下雨，座位區的歌迷拿出雨衣遮擋從天而降的雨滴，事後高雄市運發局長侯尊堯表示，世運主場館目前設備老化，演唱會開唱前會在龜裂的跑道上鋪設保護墊，也會請清潔人員加強巡視，檢視有無鳥糞滴落座位，遮雨棚漏水問題則會先用填縫材料暫時緊急處理。
昨(21)日ONE OK ROCK在高雄國家體育場冒雨開唱，舞台在大雨中竟出現瀑布直洩而下的畫面，不少人以為又是高雄國家體育場遮雨棚的問題。對此運發局緊急澄清回應，國家體育場觀眾席看台樓板採用預鑄工法施工，因落成至今已15年，長期使用致部分接縫處填縫材出現老化破損情形，既有場館維持演唱會及運動賽事使用，同步進行修繕，採取分區段進行填充劑填補改，並向中央爭取經費，籌措足夠經費完善國體場硬體設施。
高雄國家體育場當年是為了舉辦2009世界運動會而蓋，但世運會風光落幕後，主場館問題一一浮現，國家體育場管理處曾列出三百多項工程設計缺失，包括漏水導致主結構鋼條生鏽等，時隔十多年，部分老問題仍未妥善解決，在場館移交高雄市政府後，負責主要管理責任的運動發展局應及時改善場地問題，讓歌迷在雨季也能保有聽演唱會的好心情。
人潮疏運再好也掩蓋不了場地缺失的問題。   圖：孫家銘翻攝
高雄國家體育場如果繼續要辦國際級演唱會，相關場地缺失必須改善。   圖：取自高雄國家體育場臉書",Newtalk新聞,6 小時前
(影) 4.7級地震、龍捲風、大雨中國異常天象頻傳民眾惶恐不安| 中國,https://news.google.com/read/CBMiWkFVX3lxTE5pckNHOW9GT29SdDZ5TkJBUUdQTDMzRW9sb2hhRWtrdWhWMFpzMlRSWW8yTGd3OF9tOVpHZEYySWJPeXh2UTA4cHVTdFNzWjNwSnoxOW9EWWt6Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中國近日發生許多異常現象，諸如地震、龍捲風、大雨等，使民眾惶恐不安。
X 帳號「沐陽」今（19）日發文表示，中國地震台網昨（18）日說，18 日 20 時 08 分，安徽合肥肥東縣發生 4.7 級地震，江蘇南京、浙江杭州等多地有震感。相關影片顯示，房子劇烈搖晃，屋內的燈也激烈晃動，影片拍攝者聲稱，附近所有人都趕緊離開建築物避難。
X 帳號「德潤傳媒」指出，江蘇宿遷及泗洪臨淮 17 日都出現龍捲風。相關影片中的民眾吃驚看著遠處的龍捲風。巨大龍捲風幾乎將天空遮住，讓人怵目驚心。所幸龍捲風離民眾有段距離，所以沒有慘烈悲劇發生。
X 帳號「Daneil Fang」聲稱，中國最近天象異常，不是龍捲風，就是傾盆大雨。
對於中國異常現象頻傳，網友紛紛在留言區說：「看燈的搖晃程度，就知道地震有多大了。」、「房子都劇烈搖晃，地震好可怕。」、「這龍捲風看起來太恐怖了。」、「我要是看到龍捲風一定立刻跑，才不會停留在原地觀看。」、「突然看到龍捲風，一時之間反應不過來而駐足在原地很正常。」、「顯然中國最近不太平。」
安徽合肥肥東縣發生 4.7 級地震。   翻攝自沐陽 X 帳號
江蘇宿遷及泗洪臨淮 17 日都出現龍捲風。   圖：翻攝自德潤傳媒 X 帳號
安徽合肥肥東縣發生 4.7 級地震，江蘇南京、浙江杭州等多地有震感。   圖：翻攝自四川觀察",Newtalk新聞,3 天前
日本能登半島破紀錄豪雨一人失蹤、數千戶停電| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5tbnZjRklXTXdOenFHV1FabmRrMjE1bmJIRzd1N1JFbjh6aWlEN0otVWdLRkhUWEJ3Y2E5OGtqbW1zVllxM2NaQnFsT08wMWVXbDRxci1KNDg5UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"根據《NHK》及《讀賣新聞》等報導，日本北陸地區，今(21)日受到秋雨鋒面和低氣壓影響，降下破紀錄的豪雨。氣象廳已對能登半島地震受災區的石川縣輪島市、珠洲市及能登町發布「大雨特別警報」。
截至上午 11 時，當地報告已出現1人失蹤，位於石川縣的珠洲市有兩個村落因洪水淹沒而成為孤島。輪島市中心部分地區也出現洪水和土石流，並有四條河川（河原田川、鵜飼川、若山川、紀之川）氾濫。根據日本氣象廳數據，輪島市截至上午 8 時 30 前的一小時內，已觀測到超過120毫米的猛烈強降雨。
此外，北陸電力公司報告，截至上午9時，輪島市、珠洲市及能登町共計約5460戶停電，其中輪島市約3100戶、珠洲市約1200戶、能登町約960戶。停電現象可能與大雨有關，工作人員正前往現場調查，恢復供電的時間尚未可知。
目前，救援單位正積極處理民宅倒塌及被洪水沖走的求助通報，日本政府也呼籲居民保持警覺，確保安全，並根據氣象預報隨時掌握天氣變化。
日本能登半島降下破紀錄的豪雨   圖：翻攝自X / iklim değişikliği haber",Newtalk新聞,昨天
「珊珊」颱風登陸日本！ 九州嚴防豪雨及土石流,https://news.google.com/read/CBMiZkFVX3lxTE1GU1FLRWR2c09Oc3RVRUdnQ1lKWHFnUnZ2OVVUdFIyYmVOeEZHY0pGOUJ3c3huNXNTamczZXd3QUp5SnNkRmhWX3FNaXlnb3RENWxWY3UtNjloRWFWSFRoU0RlaUtxUdIBa0FVX3lxTE83T1hibFR3eW9XRHpkSUVzWEd3Z3JldUI0Z09SdVRwVjZWcG55djcxWGhEb2l1RnBBX1NmSmhmNkRJdjhxcHlUQ0x3VHE1YkltaV9nQW45WlhPX2tNeEtoWXBEVXB5NENzSDRF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


珊珊颱風今早登陸九州鹿兒島縣。（圖擷取自日本氣象廳）
蔡百靈／核稿編輯
〔即時新聞／綜合報導〕今年第10號颱風「珊珊」襲日，先前在九州南方緩慢前進，持續逼近九州一帶。日本氣象廳表示，「珊珊」已於當地時間今日（29日）8點左右在鹿兒島縣薩摩川內市附近登陸。
根據日本《NHK》報導，受到「珊珊」颱風影響，為九州各地帶來強風豪雨，鹿兒島縣枕崎市在凌晨1點左右測得風速達每秒51.5公尺，達到蒲式風力級數的16級風；鹿兒島縣種子島也測得每秒42.1公尺，達14級風。此外，大分縣、宮崎縣及鹿兒島縣，以及太平洋沿岸各縣都降下豪大雨，當局呼籲嚴防土石流及河川溪水暴漲。
請繼續往下閱讀...

日本氣象廳觀測數據顯示，「珊珊」颱風中心位於鹿兒島縣薩摩川內市，以時速15公里朝北北東前進，中心氣壓955百帕，近中心最大風速為每秒40公尺。
珊珊颱風為大分縣、宮崎縣、鹿兒島縣及太平洋沿岸各縣帶來豪大雨。（圖擷取自日本氣象廳）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,8月29日
高雄機場因大雨地面作業一度暫停 多航班延誤,https://news.google.com/read/CBMiZEFVX3lxTFBCNzRMM0w0UW12Z2ZoeTlVQjRNUVl0aHRNZTQzTThfa2pWRjdjNEZFNWRORmt3VnFFbldCMTFaSmNTSWJwUlQ1NlJIZWE2SVFLTVdhYmJ4Mnd3ZWt1eldGLW1jQjHSAWpBVV95cUxPbWl5N2RBUC02bFFwdGhJZ3c4TkNwZlVpc0V4NGFHclhtYVp0dFBWR0ljT05aSUpoSmNXZURGeDhWVElGN3kxN3NUTXNVSm1oUlhId2lnTHlHQVNWX1h2SmZMcGZ0WHRRWEVR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


高雄機場因雨勢影響，部分航班延遲，圖為旅客在櫃檯報到情況。（記者洪臣宏攝）
〔記者洪臣宏／高雄報導〕高雄地區今（14）日上午下起大雨，高雄機場8時41分起暫停地面作業，直到大約9點19分才恢復，因此部分航班出現延誤；民航局表示，旅客可透過官網得知最新航班資訊。
氣象署今天上午9時針對高雄市發布大雨特報，因對流雲系發展旺盛，易有短延時強降雨，高雄地區有局部大雨發生的機率，慎防雷擊及強陣風，低窪地區注意積水。
請繼續往下閱讀...

高雄地區上午下起大雨，高雄機場上午8時41分起暫停地面作業，直到大約9點19分才恢復，部分航班因此延誤。
根據高雄國際航空站官網，國內華信航空AE305（高雄-金門）、德安航空DA7009（高雄-七美）航班受天氣影響延遲，華信航空AE339（高雄-澎湖）因地面作業延遲，目前只剩德安航空DA7009（高雄-七美）仍延遲；國際航班則有國泰CX431（高雄-香港）從表定11時20延遲至11時35分起飛，其餘目前都正常起降。
民航局指出，由於雨勢可能持續至夜間，與高雄機場有航班往來的機場也將連帶影響，航班將有延誤，已要求相關航空站立即於航站內透過公佈欄、跑馬、廣播等方式告知旅客，並於官網提供最新航班資訊供民眾查詢。
高雄雨勢打亂高雄機場航班。（記者洪臣宏攝）
高雄機場航班入境情況。（記者洪臣宏攝）
高雄機場國際線航班概況。（記者洪臣宏攝）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,8 天前
珊珊颱風襲日本 鹿兒島強風豪雨掀巨浪 愛知土石流壓垮民宅,https://news.google.com/read/CBMijgNBVV95cUxPWlNKUzdGQ0JkYXVpRmVhaVZlY1ZqQUhZYTZfbG5fcDFqSXhBRHJuWTN0TXJPQXBZR3hqZU5aRjFQc3FjZmpTTjExRG4tSklUeXFpUkExVG9Wa3d0cXpTVlBuc0V3YkdYRTFtUGNQY0hKem1qMWg4RFFxZkdpSVR5em5pYXFUZkF3anVUVHlYMzZtSTZtaEpCWXVSdzNmUkgzNUN6aGRORFdjeUxYSVZRMEdxSy12ZHpZV0c0c1Vvd3hZdHBsbk5TREFjNk10U2NjWXNaWDZvdVBEVWp6V29IWG9EazUwOEZvRy1feEZjU0FXQmNzQUdUeV9SaGVhUUlIVElfX1NNanZYWjdmVllZNXpTbkUzMWRYYWpjT0pSTnF5NUJUdlV2NTFnZkh1QTJTNWxhTEdVUHRfY2lzNlpkZzJzeVgtemFXTnV4UkRJR1JNVXZFOWtPLWs5TldEN2hMQkhoVTFBZG5Zd2NXLUdUcHJ3MVJWdzBWLXB1cjVjeHpUY2VPU256UUxMUFFKUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"珊珊颱風往北直撲日本，更有可能「縱貫全日」，8月28日鹿兒島地區出現強風豪雨，奄美市路樹倒塌，樹木被吹得劇烈搖晃，海岸則湧現翻騰巨浪。日本氣象廳28日午間已向奄美地區之外的鹿兒島縣，發布強風和巨浪緊急警報，呼籲民眾保持最高警惕，採取提早疏散等安全措施。
截至28日中午24小時，奄美降雨量估達400毫米、風速每小時超過140公里，奄美機場27日已宣告關閉。中部愛知縣27日深夜則因強降雨造成土石流，壓垮民宅，其中3人獲救2失聯，自衛隊搜救中。
珊珊29日將逼近九州南部，之後在九州登陸，本周末將抵達日本中部和東部地區，首都東京也在籠罩範圍內。JR東海28日宣布東海道新幹線靜岡縣和愛知縣的部分區間路段減速運行；九州及本州新幹線至9月1日大部分地區服務，可能也會暫停。
首相官邸的情報聯絡室已升級為官邸對策室，並設置特定災害對策總部。珊珊威力驚人，此前已達氣象廳分類的「非常強烈颱風」，氣象廳表示，由於路徑存在許多不確定因素，可能變成「迷走颱風」，加上海溫升高，又助長颱風能量，恐為關東地區等帶來致災大雨。",Yahoo奇摩新聞,8月28日
台灣今明高溫飆38度! 珊珊颱風恐降「前所未見」超大豪雨整死日本| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBBbGo1RHlmTHRBZFZMRGlIcG5NVGN3QzdILWtSQjBoQVpDUTktempjbjlFNXBENnVmVmVYcFREODdWZHpnT2xTaXpkbjVfMFJLRV9jQWhBSlhqZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署持續發布高溫資訊，今（27）天全台天氣高溫炎熱，中午前後台北市、新北市、屏東縣、台東縣為黃色燈號。另一方面，第10號中度颱風「珊珊」預計將對日本造成劇烈影響，可能接續沿路襲擊西日本及東日本，且由於行進速度緩慢，可能帶來多日強烈降雨，甚至打破歷史紀錄，尤其是九州地區須提高警覺，28至29日的48小時內，雨量預估來到600mm，比現存的歷史觀測紀錄高出150%。
氣象署表示，今天水氣減少，台灣各地及澎湖、金門、馬祖為晴到多雲的天氣，環境逐漸轉吹西南風，清晨中南部地區有零星降雨的機率，而午後熱對流降雨範圍縮小，主要在各山區有局部短暫雷陣雨，前往山區溪澗附近活動需留意溪水暴漲；氣溫方面，各地高溫普遍為32至35度，感受上高溫悶熱，局部溫度會再更高一些，且近中午前後紫外線偏強，外出務必做好防曬並多補充水份。
中央大學大氣科學系兼任副教授吳德榮在「洩天機教室」專欄提到，今明兩天太平洋高壓雖減弱、因珊珊外圍沉降增溫，台灣各地晴朗無雲，紫外線強、最高溫恐達37、38度，應注意防曬、防中暑。週四至下週日盛行西南及偏南風、天氣仍偏熱，注意防曬、防中暑；與陸風輻合、清晨西半部偶有局部短暫陣雨，午後近山區局部雷陣雨發展，並擴展至部分平地，有局部性大雷雨發生的機率。
氣象署指出，中颱珊珊清晨2點位於台北東北東方1010公里之海面上，目前颱風與其外圍環流正在影響琉球群島及其附近海域，並向西北轉北北西前進，預估本週將影響日本。吳德榮說，中颱珊珊已有清晰的颱風眼，在日本九州南方海面，受太平洋高壓導引，向西北西逐漸轉北，明、後天再逐漸大迴轉，登陸九州前威力達最強，之後受地形破壞、逐漸減弱。各國官方預測圖顯示，將有2次或3次登陸日本（先登陸九州、再四國、或本州）的機率。若有日本行程，應密切注意颱風動態。
日本氣象協會警告，珊珊颱風帶來的溫暖濕空氣將陸續從日本西部影響至東部，從28日起就會有明顯降雨，珊珊颱風的行進速度緩慢，因此停滯時間變長，連日大雨可能造成河川氾濫、土石流等災害。九州地區從28日開始面臨紀錄性大雨，在28、29日這段期間，48小時內雨量估計達到600mm，比起現存紀錄高出150%；四國、東海地區則會從29日至31陸續迎來大雨。靜岡大學教授牛山素行提醒，本次大雨可能出現大型災害，甚至天災受害者會大量出現。
珊珊颱風恐在日本降下歷史性大雨。   圖：翻攝日本氣象協會",Newtalk新聞,8月27日
低壓豪雨轟炸12縣市「6縣市」達豪雨等級| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9pZUh4WmZydDlVaDI5bDJGaFFMVlNGdGNzQ0JHYTVNejZuZnM5RWtDa1lwc25vVko4Vi1mSkJLb0h2azZLSVpFWUYxNFdwN3V5cncwUG10cGdzQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署今天晚間7時50分更新豪雨特報，低壓帶影響，易有短延時強降雨，針對12縣市發布大雨特報，其中6縣市達豪雨等級。

中央氣象署今天下午持續發布大雨特報，提醒台北市等10縣市民眾出門要留意瞬間大雨，而且雨勢越晚越大。根據氣象署資料，今(21日)晚至明(22)日基隆北海岸、桃園市、臺南市、高雄市、屏東縣有局部大雨或豪雨，新竹以北、南投地區及臺中、嘉義山區有局部大雨發生機率，同時需注意雷擊及強陣風，低窪地區請慎防積水，山區請慎防坍方、落石及土石流。
氣象署表示，明天（22日）持續受低壓帶影響，臺灣各地降雨機率偏高，易有短延時強降雨。   圖:翻攝自中央氣象署",Newtalk新聞,昨天
中東歐連日豪雨釀洪災 羅馬尼亞4死、捷克、波蘭防洪｜#鏡新聞,https://news.google.com/read/CBMi-gJBVV95cUxPVkdoeDVXY01rUUthVEY5ZEc5LWh5c3oxU2UycTVOXzV3MlROT3hmbGlzXzN0R2NxWWlHZUZGdHBSbW80eVF1SXNUdXFDNHUxaHBkdXRIVFhwRm9mLUJTR29QZW9tdEkwd2tZc2Y4Qkp2Nnk1a0NyQXFfQm9iVGRpcGFxMnltYTlCc0lxbGVZZ05sQjZkZ1Q1YkJnVUtGU0tiVmIzNmVSdTBvbF9sYlpZRVcwZjVEUDhxbWhOSjFEUF9tbXpnaTEwWWprUFd0TmxHUGJhSXdoN1MwSjRaQ0t0UUExdkFxWFNNZExKN2xWNUtQbzB4SHM3VlB3Y3NXWGlrNkpOQk5BNThvdHp0d3NfZ1RJMUtTcUdYTkZZZDFJeVYxbWdlcHhfNGxKVzV3Umlvbll1VFExYWRna0haLXV4VWRrbTJHbWdPb3J2NnpocWwwbVlvNGpmOEtHbkdvVmM5MkFRbmFGVVV6ZkZ5bHJUcTBoRDRZREtOc0E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,歐洲中部和東部最近受到熱帶風暴的侵襲，捷克、波蘭和羅馬尼亞連日暴雨，羅馬尼亞甚至有4人死亡，捷克當局更表示，這場風暴帶來近50年來最多的雨量，至少上萬人被撤離。但全球氣候異常，另一邊南美洲的巴西野火不斷，全國6成的領土都壟罩在野火的濃煙下。,Yahoo奇摩新聞,7 天前
豪雨特報！17縣市受警示豪雨狂轟新北基隆注意坍方落石| 生活,https://news.google.com/read/CBMiWkFVX3lxTE5TdnFoZWVFQlh6Zk8wZWlmMmw3cTB2T2UxakJFcER3X2taNVJ2VVlDQmVsRGE3M0FOZ2xYejhQcEIwTkRTNHZReV9OekJ4NDV0bVBtTC1oUGVIQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"全台17縣市大雨壟罩，氣象署晚間20時15分更新豪雨特報，受鋒面及低壓帶影響，易有短延時強降雨，今晚至明天基隆北海岸及新北市山區有局部豪雨或大豪雨；宜蘭、台北、台南、高雄、屏東則注意豪雨。
中央氣象署針對17縣市發布示警，今天晚間至明天北海岸及新北市山區有局部豪雨或大豪雨，基隆市、臺北市、新北市、宜蘭縣、臺南市、高雄市、屏東縣有局部大雨或豪雨，桃園、新竹、彰化至嘉義地區、澎湖、金門、馬祖及花蓮山區有局部大雨發生的機率，請注意雷擊及強陣風，低窪地區請慎防淹水，山區請注意坍方、落石、土石流及溪水暴漲。大豪雨地區：新北市。
氣象署提醒，雨區範圍注意雷擊及強陣風，低窪地區慎防淹水，山區注意坍方、落石、土石流及溪水暴漲。",Newtalk新聞,2 小時前
暴雨狂炸全台16縣市！氣象署曝「南部這二處」恐成豪雨重災區| 生活,https://news.google.com/read/CBMiWkFVX3lxTE9WXzRMUE5RWUpqZzZIWmZ5Yzg2dlV3WTZ0bWpqR1hqaTU0bTZvYnpNcFQ2NVRlTXR6RnBOT0RRYk5VYnhqVnI3VTNXbHRObC1wT3B0TnFUUTBaUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署今日下午4時05分發布最新豪大雨特報，全台16個縣市面臨強降雨威脅。南部地區情況最為嚴峻，高雄市、屏東縣已達豪雨等級。因受熱帶性低氣壓及低壓帶影響，短時間內可能出現劇烈降雨，低窪地區淹水風險大增。民眾應提高警覺。
根據氣象署最新觀測，降雨範圍持續擴大，影響地區遍及全台。除了南部的高雄市、屏東縣面臨豪雨威脅外，北部的基隆市、台北市、新北市、桃園市，以及東部的宜蘭縣和南部的台南市、恆春半島等地區，也可能出現局部大雨或豪雨。
氣象署表示，本次降雨將持續至23日清晨。除了已發布豪雨警報的地區外，新竹、雲林、嘉義、花蓮、澎湖、馬祖及台東山區等地也有機會出現局部大雨。
各地區的降雨預報如下：
1) 大豪雨：高雄市、屏東縣。
2) 豪雨：基隆北海岸、台北市、新北市、桃園市、台南市、恆春半島、宜蘭縣。
3) 大雨：新竹縣、雲林縣、嘉義市、嘉義縣、花蓮縣、台東縣山區、澎湖縣、馬祖地區。
中央氣象署今日下午4時05分發布最新豪大雨特報，全台16個縣市面臨強降雨威脅。   圖：氣象署／提供
中央氣象署今日下午4時05分發布最新豪大雨特報，全台16個縣市面臨強降雨威脅。   圖：氣象署／提供",Newtalk新聞,6 小時前
