標題,連結,內文,來源,時間,圖片,is_disaster,國家,地點,災害,event,content,summary,region
丹娜絲明起影響台灣陸地！「淹水警戒地區」一次看| 生活,https://newtalk.tw/news/view/2025-07-05/980088,"輕度颱風「丹娜絲」估計明(6)日、後(7)天影響全台陸地，對此，國家災害防救科技中心彙整相關資料指出，丹娜絲朝台灣西南方海域接近，暴風圈將影響西南部海域，丹娜絲朝台灣西南方海域接近，暴風圈將影響西南部海域淹水警戒地區則共有8縣市、18鄉鎮市區，涵蓋東南部以及澎湖。
國家災害防救科技中心表示，丹娜絲暴風圈約80公里，今晚起影響西南部海域，預計6日晚上起到7日影響台灣陸地，主要強降雨地區為台中以南及東半部地區，根據高中低風險評估，台東縣鄰近的高雄、屏東山區為強降雨高風險區；台中以南為中風險區，桃竹苗與宜蘭為低風險區；雙北、基隆未列入風險。另外，全台沿海與離島及中部山區則列為強陣風的中風險區。
持續更新：懶人包》「丹娜絲」來勢洶洶！海陸空交通異動一次看
根據潮位監測，今日滿潮時間為下午4點到晚上7點，受到丹娜絲低壓影響，預估沿海潮位將偏高，提醒低窪區滿潮期間須注意強降雨造成的局部積淹水；水庫的調節性放水則提醒各主責政府單位透過細胞廣播平台發送預警；西南部及恆春半島沿海須留意長浪影響。
至於淹水警戒地區則共有8縣市、18鄉鎮市區，包含花蓮縣花蓮市、鳳林鎮、新城鄉；台東縣台東市、鹿野鄉；高雄市新興區、楠梓區、旗山區；台南市中西區、安平區、安南區；澎湖縣馬公市；屏東縣枋山鄉、恆春鎮；嘉義縣竹崎鄉、民雄鄉；彰化縣田尾鄉、溪州鄉。預警時間為今日10點到9日0點。
分析的坡地易致災區則有台南市、高雄市、屏東縣、花蓮縣、台東縣等5鄉鎮市，易造成孤島聚落的重要道路有：台8、台9（乙、丙、丁、戊）、台11（甲、乙、丙）、台14甲、台20（甲、乙）、台23、台24、台26、台27甲、台29約20條。
輕度颱風「丹娜絲」影響，主要強降雨地區為台中以南及東半部地區   圖：國家災害防救科技中心／提供
受到丹娜絲低壓影響，預估沿海潮位將偏高，西南部及恆春半島沿海須留意長浪影響。   圖：國家災害防救科技中心／提供",Newtalk新聞,2025-07-05,https://images.newtalk.tw/resize_action2/800/album/news/981/6868d4584c139.jpg,True,台灣,"全台,台灣西南方海域,西南部海域,東南部,澎湖,花蓮縣,台東縣,高雄市,台南市,澎湖縣,屏東縣,嘉義縣,彰化縣,花蓮市,鳳林鎮,新城鄉,台東市,鹿野鄉,新興區,楠梓區,旗山區,中西區,安平區,安南區,馬公市,枋山鄉,恆春鎮,竹崎鄉,民雄鄉,田尾鄉,溪州鄉,台中以南及東半部地區,高雄,屏東山區,台中以南,桃竹苗,宜蘭,雙北,基隆,全台沿海與離島及中部山區,恆春半島",颱風,台灣屏東颱風,輕度颱風丹娜絲預計6日至7日影響台灣陸地，主要強降雨地區為台中以南及東半部，高風險區包括高雄和屏東山區。淹水警戒涵蓋8縣市18鄉鎮市區，如花蓮、台東、高雄等地。沿海地區須注意潮位上升和長浪影響，總計影響多條重要道路。,颱風丹娜絲將導致台中以南及東半部地區強降雨，高風險區為高雄和屏東山區，可能引發淹水。影響範圍包括8縣市18鄉鎮市區，如花蓮、台東、台南等地，沿海和離島面臨中風險強陣風。潛在風險涉及潮位上升、長浪及約20條重要道路易致災，無明確死亡或財產損失數據。,國內
風暴來襲淤泥覆蓋軌道 法國義大利高鐵暫停行駛數日,https://money.udn.com/money/story/5599/8843949,"法國國家鐵路公司（SNCF）今天表示，受到本週稍早來襲的猛烈風暴影響，法國與義大利之間的高速列車將暫停行駛「至少數日」。
法新社報導，法國國家鐵路公司表示，將全面清理並檢修巴黎到米蘭的高速鐵路軌道，以避免任何可能導致復駛時間延後的損壞。
SNCF指出，風暴襲擊鄰近法國邊境車站莫丹（Modane）的莫赫延谷（Maurienne Valley），導致莫丹車站淹水，軌道也出現大量淤泥堆積，這條路線因此從昨天下午3時起暫停通行。
洪水在莫丹鎮造成財產損失，所幸沒有人員傷亡通報。
在此之前，連接巴黎與義大利杜林（Turin）和米蘭（Milan）的火車路線由於山崩損壞隧道，被迫關閉19個月，直到今年3月底才恢復通車。
SNCF和其義大利競爭對手「義大利國營鐵路公司」（Trenitalia）都在這條鐵路提供高速運輸服務。通常僅需6、7個小時就能將乘客從巴黎運送到義大利北部大城。",經濟日報,2025-07-01,,True,法國,"巴黎,米蘭,莫丹,莫赫延谷,莫丹鎮,杜林,義大利北部大城",洪水,法國巴黎洪水,本週猛烈風暴襲擊法國邊境地區，導致莫丹車站淹水和軌道淤泥堆積，法國與義大利之間的高速鐵路暫停行駛至少數日。法國國家鐵路公司正進行清理和檢修，以確保安全。這是該路線近期第二次因自然災害中斷服務，所幸無人員傷亡，但造成當地財產損失。,風暴引發洪水，導致莫丹鎮財產損失，無報告死亡或傷亡人數，亦無撤離人數提及。災害影響範圍涵蓋法國邊境高鐵路線，造成巴黎至米蘭的運輸服務中斷至少數日，影響旅客和經濟活動。,國外
（影）中國強降雨災情慘! 甘肅山體滑坡2死貴州榕江洪水一週兩淹4萬人撤離| 中國,https://newtalk.tw/news/view/2025-07-03/979766,"2 日 至 3 日中國甘肅隴南市局部出現強降雨天氣，隴南市徽縣有街道被淹，部分山區因降雨導致山體滑波。3 日，《新京報》記者從隴南市徽縣政府部門獲悉山體滑坡致 2 人不幸身亡，上述兩人均為當地一處施工工地內人員，目前，救援工作仍在進行中。
有畫面也顯示出，貴州榕江爆發嚴重洪水，原先洪水退去、居民都開始清理家園了，結果強降雨再次侵襲，城區一周內兩度被洪水淹沒。
延燒焦點：巴基斯坦否認要買中國殲-35 ！ 巴國防長突改口 疑與「這2大」因素有關.....
貴州榕江縣近日遭遇嚴重水患，因地處三江交匯、地勢低窪，成為此次洪災重災區。雖然前一波洪水退去，居民才剛開始忙著清理家園，沒想到 28 日官方又發布最新防汛預警，緊急呼籲全城居民儘速撤離避險。
根據《央視》報導，截至 28 日晚間 6 點，榕江縣已有超過 4.1 萬名民眾緊急撤離家園，部分地區車輛被要求全面撤出、只出不進。央視記者也在現場直擊，街頭可見大批民眾攜家帶眷、開車逃往城外，主要路口一度大塞車，市區交通幾乎癱瘓。
據統計，28 日下午 5 點過境的洪峰水位已達 253 公尺，災區街道洪區副指揮長田耕說：「對我們低窪地帶的小區，看還有沒有人員，我們把他全力疏散出來。」
另外，河南西峽發生強降雨發生大洪水，據河南省南陽市消防部門了解，截至目前，已搜尋到5名人員，均無生命體徵，現場搜救工作仍在進行中。
貴州榕江縣的水
傷亡人數目前沒有官方報出 pic.twitter.com/9jq1d5Nu4a
有畫面也顯示出，貴州榕江爆發嚴重洪水，原先洪水退去、居民都開始清理家園了，結果強降雨再次侵襲，城區一周內兩度被洪水淹沒。   影：翻攝自 X 沐陽
河南西峽發生強降雨發生大洪水，據河南省南陽市消防部門了解，截至目前，已搜尋到5名人員，均無生命體徵。   圖：翻攝自 央視",Newtalk新聞,2025-07-03,https://images.newtalk.tw/resize_action2/800/album/news/980/686641b0652e1.png,True,中國,"甘肅隴南市,徽縣,貴州榕江縣,河南西峽",洪水,中國甘肅隴南市大雨,中國近期強降雨導致多地災情嚴重，甘肅隴南市山體滑坡造成2人死亡，救援仍在進行中；貴州榕江縣洪水一週內兩度淹沒城區，逾4.1萬居民緊急撤離；河南西峽也遭洪水侵襲，導致5人死亡。整體事件凸顯強降雨對低窪地區的破壞力，當地政府正全力應對。,此次強降雨災害在中國多地造成嚴重損失：甘肅隴南山體滑坡導致2人死亡；貴州榕江洪水造成4.1萬人撤離，城區交通癱瘓；河南西峽洪水導致5人死亡。影響範圍涵蓋甘肅、貴州和河南等省，低窪地區反复淹水，增加居民安全風險，無財產損失數據公布。,國外
日本鹿兒島規模4.0地震 無海嘯風險,https://money.udn.com/money/story/5599/8838819,"日本鹿兒島縣當地時間今天下午4時56分（台北時間下午3時56分）發生規模4.0地震，最大震度4，沒有引發海嘯的風險。
根據日本氣象廳，震央位於吐噶喇列島近海，震源深度20公里，鹿兒島縣十島村觀測到最大震度4。
吐噶喇列島近海今天下午連續發生多次地震，規模最大的為下午4時12分規模5.1地震，最大震度4。
吐噶喇群島的寶島、小寶島、惡石島近海一帶，向來是群發地震頻繁發生的地區，在2023年9月，曾在2天內觀測到292次有感地震。",經濟日報,2025-06-29,,True,日本,"鹿兒島縣,吐噶喇列島,十島村,吐噶喇群島,寶島,小寶島,惡石島",地震,日本鹿兒島縣地震,日本鹿兒島縣今日下午發生規模4.0地震，震央位於吐噶喇列島近海，深度20公里，最大震度4，無海嘯風險。當天該地區連續發生多起地震，其中規模最大的為下午4時12分的5.1級地震。吐噶喇列島一帶是地震高發區，2023年9月曾記錄292次有感地震，提醒當地居民注意。,此次地震造成最大震度4，影響範圍涵蓋鹿兒島縣十島村及吐噶喇列島近海，無報告人員傷亡、撤離人數或財產損失。該地區為地震頻繁發生區，無海嘯風險，僅為常見地震活動，無重大破壞影響。,國外
日本鹿兒島近海規模5.1地震 無海嘯風險,https://money.udn.com/money/story/5599/8841108,"日本鹿兒島縣當地時間今天下午6時33分（台北時間下午5時33分）發生規模5.1地震，最大震度5弱，沒有引發海嘯的風險。
根據日本氣象廳資料，震央位於吐噶喇列島近海，震源深度30公里，鹿兒島縣十島村觀測到最大震度5弱。
吐噶喇列島的寶島、小寶島、惡石島近海一帶，向來是群發地震頻繁發生的地區，在2023年9月曾在2天內觀測到292次有感地震。",經濟日報,2025-06-30,,True,日本,"鹿兒島縣,吐噶喇列島,十島村,寶島,小寶島,惡石島",地震,日本鹿兒島縣地震,日本鹿兒島縣今日下午發生規模5.1地震，震央位於吐噶喇列島近海，震源深度30公里，最大震度達5弱。無海嘯風險。此地區為地震多發區，2023年9月曾記錄292次有感地震，主要影響十島村一帶。,此次地震規模5.1，最大震度5弱，影響範圍限於鹿兒島縣十島村地區。無報告死亡人數、撤離人數或財產損失，亦無海嘯風險。事件未提及其他具體損失。,國外
日本鹿兒島與秋田發生有感地震 無海嘯威脅,https://money.udn.com/money/story/5599/8847387,"日本鹿兒島縣十島村今晨起相繼發生震度4與3不等的地震；位在日本東北地區的秋田縣今天上午7時33分左右，發生最大震度3的地震，前述區域已觀測到的地震並無海嘯威脅。
日本放送協會（NHK）報導，位在九州外海的十島村，今晨起陸續發生多起地震，其中惡石島今天上午6時51分左右（台北時間5時51分）觀測到最大震度4，小寶島與鹿兒島縣的奄美市觀測到震度2。
吐噶喇列島的惡石島與小寶島附近等地，上月21日以來地震活動變得頻繁，惡石島6月30日與昨天也曾發生震度5弱的地震。
這個區域2023年與2021年也曾出現頻繁的地震活動，不過近日測得震度1以上的地震次數大幅超越過去案例。
另外，秋田縣今天上午7時33分左右（台北時間6時33分左右）發生的地震，推估規模3.8，震央位於秋田縣內陸的南部地區，震源深度10公里。
秋田縣大仙市測得最大震度3；秋田縣仙北市與美鄉町觀測到震度2；秋田市、岩手縣花卷市等地測得震度1。",經濟日報,2025-07-03,,True,日本,"鹿兒島縣十島村,惡石島,小寶島,奄美市,吐噶喇列島,秋田縣,大仙市,仙北市,美鄉町,秋田市,岩手縣花卷市",地震,日本鹿兒島縣地震,日本鹿兒島縣十島村今日發生多起地震，包括最大震度4的事件，位於九州外海地區；秋田縣則發生規模3.8、最大震度3的地震。該區域自上月以來地震活動頻繁，震源深度約10公里，無海嘯威脅。專家指出，這可能與過去頻繁地震活動相關。,此次地震影響日本鹿兒島縣十島村及秋田縣大仙市等地，最大震度達4，無報告死亡人數、撤離人數或財產損失。地震活動持續多日，但未造成明顯破壞，僅觀測到震度1至4的範圍，無海嘯威脅。,國外
近期最強搖晃！鹿兒島規模5.5地震、十島村震度「6弱」 海自P-1緊急升空查看| 國際,https://newtalk.tw/news/view/2025-07-03/979784,"日本時間3日下午4時13分左右（台北時間下午3時13分），鹿兒島縣十島村惡石島觀測到震度「6弱」的強烈地震，震源位於吐噶喇列島近海，震源深度約20公里，地震規模推估為芮氏規模5.5。日本海上自衛隊於地震發生後迅速反應，派遣駐鹿屋基地的P-1海上巡邏機起飛，執行上空情報蒐集任務，以確認島嶼周邊是否有損害或異狀。
日本氣象廳表示，此次地震無引發海嘯之虞，但由於近期該地區地震活動頻繁，呼籲民眾注意後續可能發生的強震及山崩、落石等次生災害。根據統計，自6月21日起，吐噶喇列島近海已發生超過1030次震度1以上的地震，其中包括多次震度5弱及以上的強震。此次震度6弱為近期最強烈的一次，惡石島震感強烈，小寶島則觀測到震度3。十島村當局表示，截至目前未接獲重大災情通報，但地震頻發引發居民不安。
全站首選：管仁健觀點》韓國瑜為何要暗酸黃國昌是「三姓家奴」？
專家指出，吐噶喇列島位於火山活動活躍區域，地震頻發可能與海底地質活動有關，但目前尚無證據顯示與更大規模地震如南海槽地震直接相關。",Newtalk新聞,2025-07-03,https://images.newtalk.tw/resize_action2/800/album/news/980/6866449414063.jpg,True,日本,"鹿兒島縣十島村,惡石島,吐噶喇列島近海,小寶島,鹿屋基地",地震,日本鹿兒島縣地震,日本時間3日下午，鹿兒島縣十島村發生芮氏規模5.5地震，震源位於吐噶喇列島近海，深度約20公里，震度達6弱。日本海上自衛隊派遣P-1巡邏機檢查周邊狀況。日本氣象廳表示無海嘯風險，但該地區地震頻繁，自6月21日起已超過1030次震動，呼籲民眾注意強震及次生災害如山崩。,此次地震規模5.5，震度6弱，主要影響鹿兒島縣十島村及周邊島嶼，如惡石島和小寶島。截至目前，無報告死亡人數、撤離人數或財產損失，但地震頻繁可能引發次生災害如落石。居民不安，當地當局呼籲持續監測以防範潛在風險。,國外
7月5日大地震前震? 日本鹿兒島海域發生5.5地震此前當地已有超過800次地震| 國際,https://newtalk.tw/news/view/2025-07-02/979600,"被譽為「日本龍婆」漫畫家竜樹諒，預言「日本 7 月 5 日將發生毀滅性大地震，1／3 國土都將消失」。而日本最近就巧合性的發生地震。
日本鹿兒島縣附近海域今 ( 2 ) 日發生強烈地震。日本氣象廳發佈消息稱，當地時間 15 時 26 分左右，鹿兒島縣吐噶喇列島近海附近發生 5.5 級地震，最大震感為震度 5 弱，震源深度10公里。本次地震沒有引發海嘯的風險。
精選報導：不裝我的雷達就不買！ 印要求俄更改蘇-57E雷達 專家：欲降對外國供應商依賴
吐噶喇列島位於鹿兒島縣南部，由 12 座島組成，其中 7 座有人居住。6 月 21 日以來，當地已監測到超過 800 次有感地震，其中多次達到 5.1 級。日本氣象廳此前警告，未來仍可能發生更強地震，呼籲民眾保持警惕。
被譽為「日本龍婆」漫畫家竜樹諒，預言「日本 7月 5日將發生毀滅性大地震，1／3 國土都將消失」。   圖 : 翻攝自竜樹諒《我所看見的未來》",Newtalk新聞,2025-07-02,https://images.newtalk.tw/resize_action2/800/album/news/980/6865067968f31.jpg,True,日本,"鹿兒島縣,吐噶喇列島",地震,日本鹿兒島縣地震,日本鹿兒島縣吐噶喇列島近海於當地時間15時26分發生5.5級地震，震源深度10公里，最大震感為5弱，無海嘯風險。自6月21日以來，該地區已記錄超過800次有感地震，其中多次達5.1級。日本氣象廳警告未來可能出現更強地震，呼籲民眾保持警惕，以防潛在災情。,本次地震無報告死亡人數、撤離人數或財產損失。影響範圍限於鹿兒島縣吐噶喇列島近海，由12座島組成，其中7座有人居住。自6月21日以來，超過800次有感地震發生，氣象廳警示可能有更強地震，強調民眾需提高警覺以減輕潛在風險。,國外
希臘克里特島野火延燒 當局緊急撤離數千人,https://money.udn.com/money/story/5599/8848126?from=edn_related_storybottom,"希臘熱門度假勝地克里特島（Crete）今天發生野火，火勢波及森林一帶，甚至威脅民宅。消防人員奮力與大火搏鬥，並緊急疏散島上至少4個聚落的居民與觀光客。
路透社報導，希臘消防當局表示，至少有155名消防員、38輛消防車及灑水車在希臘最大島的東南沿岸城鎮耶拉派特拉（Ierapetra）參與滅火行動。
在強風助長下，今天下午爆發的火勢迅速延燒，不僅阻礙救火行動，多處火勢更是死灰復燃。當局指出，增援人員正緊急從雅典搭乘船隻與飛機趕赴現場。
一名消防官員匿名表示：「這場火災非常棘手，目前仍在延燒。」他說，火勢難以撲滅的原因在於強風和地形帶來的挑戰。
據當地電視台報導，有些民宅已遭大火損毀，所幸目前未傳出有人員傷亡。當局稍早下令撤離阿克利亞（Achlia）及鄰近3個聚落。地方官員指出，已將大約3000人安置到臨時避難所。
此外，希臘消防員今晚也在基西拉島（Kythera）和北部的哈奇帝奇（Chalkidiki）地區試圖撲滅野火。",經濟日報,2025-07-03,,True,希臘,"克里特島,耶拉派特拉,阿克利亞,基西拉島,哈奇帝奇,雅典",野火,希臘克里特島野火,希臘克里特島野火迅速延燒，威脅森林和民宅，消防隊出動155名人員及38輛車應戰，但強風使火勢難控並死灰復燃。當局緊急撤離約3000名居民和觀光客至避難所，部分民宅已損毀，無人員傷亡報告。同時，基西拉島和哈奇帝奇地區亦有野火發生。,野火導致希臘克里特島約3000人撤離，部分民宅損毀，無死亡或傷亡報告。影響範圍擴及克里特島東南沿岸城鎮及基西拉島、哈奇帝奇地區，強風加劇火勢，消防隊持續滅火以控制擴散。,國外
熱浪席捲歐洲 西班牙山林大火2死,https://news.ltn.com.tw/news/world/breakingnews/5093932,"加泰隆尼亞地區主席伊拉在X上指出，他得知2人因火災喪生後感到震驚。（歐新社）
〔編譯謝宜哲／綜合報導〕西班牙消防員1日說，西班牙東北部熱浪侵襲，一場大火過後，他們發現了2具屍體。本週席捲歐洲熱浪打破高溫紀錄，學校停課，加劇火災風險。
根據《法新社》報導，雷里達省1日幾乎同時發生2起山火，1.4萬人被加泰隆尼亞地區當局要求在家隔離。消防和緊急服務部門指出，起發生在科斯科市（Cosco）附近的火災發現2人死亡。
火災具體原因尚不清楚，但消防部門說，近期高溫、乾燥天氣以及風暴帶來的強風加劇火勢。加泰隆尼亞地區主席伊拉（Salvador Illa）在X上指出，他得知2人因火災喪生後感到震驚。
西班牙正處於強烈熱浪中，許多地方氣溫超過攝氏40度，創下了6月多項高溫紀錄。南部城市科爾多瓦和巴塞隆納都有1人死亡，2人均在6月28日道路施工時死亡，很可能是中暑。
科學家指出，人為造成的氣候變化，熱浪和暴風雨等極端天氣事件正變得更加猛烈。
在過去的熱浪中，歐洲已有數萬人喪生，這促使當局向老年人、兒童、病人以及其他易受專家所稱的「隱形殺手」影響人群發出警告。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-07-02,https://img.ltn.com.tw/Upload/news/600/2025/07/02/5093932_1_1.jpg,True,西班牙,"加泰隆尼亞地區,雷里達省,科斯科市,科爾多瓦,巴塞隆納",野火,西班牙加泰隆尼亞地區野火,西班牙東北部遭受熱浪侵襲，導致山林大火，造成2人死亡。雷里達省發生火災，1.4萬人被要求在家隔離。高溫超過40度，乾燥天氣和強風加劇火勢。科學家指出氣候變化使極端天氣更頻繁，歐洲正面臨嚴重熱浪威脅。,此次野火事件造成2人死亡（發生在科斯科市附近），另有南部城市1人疑似中暑死亡。1.4萬人被要求在家隔離。影響範圍涵蓋西班牙東北部加泰隆尼亞地區和雷里達省，高溫超過40度加劇火災風險，無明確財產損失數據，但熱浪整體威脅歐洲公共健康。,國外
加州今年最大野火「馬德雷大火」 延燒逾7萬英畝,https://news.ltn.com.tw/news/world/breakingnews/5097657,"美國加州爆發「馬德雷大火」（Madre Fire），消防員在New Cuyama附近滅火。（路透）
〔中央社〕美國加州今年以來最大規模野火過去3天來已吞噬超過7萬英畝土地，當局已經派出數百名消防員救火，力圖控制火勢。
法新社報導，「馬德雷大火」（Madre Fire）2日在加州中部鄉村地區聖路易奧比斯波郡（San Luis Obispo County）爆發。約200人接獲疏散命令，數十棟建築受火勢威脅。
根據加州森林防火廳（Cal Fire）今天提供的最新數據，這場野火2日以來已吞噬7萬800英畝土地，當局已派出超過600名消防員以及40輛消防車，力圖控制火勢。
這是加州今年以來最大規模野火；年初，加州就曾遭野火肆虐，當時燒毀洛杉磯大片地區。
這是美國總統川普（Donald Trump）下令削減氣候災害應變相關聯邦機構預算及員額後的第一個夏季，受影響機構包含農業部林務署（Forest Service）、國家海洋暨大氣總署（NOAA）與聯邦緊急事故管理總署（FEMA）。
加州州長紐松（Gavin Newsom）今天指出，過去24小時，加州的聯邦土地上新增了15起野火。他呼籲總統川普優先撥款以強化消防資源。
紐松在社群平台X上寫道：「川普必須清醒過來，開始提供資金給這些鄉村地區的聯邦消防員與土地管理團隊，而不是幫億萬富豪減稅。」
紐松2日指控川普未編列足夠經費支持野火防治計畫。紐松在記者會上說：「我們需要相稱的資源投入，而非空泛口號。」他指出，加州超過50％土地是由聯邦政府管轄。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-07-05,https://img.ltn.com.tw/Upload/news/600/2025/07/05/php8gDhHz.jpg,True,美國,"加州,New Cuyama,聖路易奧比斯波郡,洛杉磯",野火,美國加州野火,美國加州爆發「馬德雷大火」，已燒毀超過7萬800英畝土地，火勢於聖路易奧比斯波郡爆發。約200人接獲疏散命令，數十棟建築受威脅，當地派出超過600名消防員和40輛消防車進行撲救。這是今年加州最大規模野火，受氣候因素影響嚴重。,這場野火已燒毀7萬800英畝土地，導致約200人疏散，數十棟建築受威脅。影響範圍涵蓋加州中部聖路易奧比斯波郡，當地動員超過600名消防員和40輛消防車應對火勢。無明顯死亡人數報告，但凸顯氣候變遷對野火頻發的影響。,國外
土耳其西部伊茲米爾省野火 死亡增至3人,https://money.udn.com/money/story/5599/8853113,"土耳其官員今天表示，西部伊茲米爾省（Izmir）厄代米什縣（Odemis）爆發的野火再添1名林業工人傷重不治，使得罹難人數上升至3人，所幸當地火勢已獲控制。
法新社報導，土耳其過去一週雖未如南歐其他地區遭遇熱浪侵襲，卻受乾旱所苦，當地消防員必須撲滅600多起野火，但大風助長火勢。
厄代米什位在度假勝地伊茲米爾市東方約100公里處，當地野火已在3日奪走2人性命，分別是1名81歲臥床男子及1名39歲林業工人。
土耳其農林部長尤馬克里（Ibrahim Yumakli）今天在社群媒體平台X發文表示，另1名林業工人沙辛（Ragip Sahin）在滅火時受傷送醫治療，如今也傷重不治。
尤馬克里還說，截至昨天晚間，厄代米什和土耳其另外6地野火已獲控制，大多在西部與中部地區；但南部哈泰省（Hatay）濱海的多提爾縣（Dortyol）野火仍未獲控制。
厄代米什市長杜欒（Mustafa Turan）在X平台發布影片表示：「大火來得猛烈，把一切燒得精光，約5000公頃土地化為灰燼。」
土耳其救難人員已在6月30日撤離了5萬多人，以免受到連串野火波及。",經濟日報,2025-07-05,,True,土耳其,"伊茲米爾省,厄代米什縣,哈泰省,多提爾縣",野火,土耳其伊茲米爾省野火,土耳其西部伊茲米爾省的野火導致死亡人數增至3人，包括兩名林業工人和一名81歲男子。火勢已在多地獲控制，但南部哈泰省仍有持續火災。當地約5000公頃土地被燒毀，土耳其因乾旱而爆發600多起野火，消防員正積極應對。,野火造成3人死亡，包括2名林業工人和1名81歲男子；5萬多人已於6月30日撤離。財產損失包括約5000公頃土地化為灰燼。影響範圍涵蓋西部伊茲米爾省和中部地區，南部哈泰省火勢未滅，凸顯乾旱加劇的災害風險。,國外
