標題,連結,內文,來源,時間,圖片,is_disaster,國家,地點,災害,event,content,summary
風暴來襲淤泥覆蓋軌道 法國義大利高鐵暫停行駛數日,https://money.udn.com/money/story/5599/8843949,"法國國家鐵路公司（SNCF）今天表示，受到本週稍早來襲的猛烈風暴影響，法國與義大利之間的高速列車將暫停行駛「至少數日」。
法新社報導，法國國家鐵路公司表示，將全面清理並檢修巴黎到米蘭的高速鐵路軌道，以避免任何可能導致復駛時間延後的損壞。
SNCF指出，風暴襲擊鄰近法國邊境車站莫丹（Modane）的莫赫延谷（Maurienne Valley），導致莫丹車站淹水，軌道也出現大量淤泥堆積，這條路線因此從昨天下午3時起暫停通行。
洪水在莫丹鎮造成財產損失，所幸沒有人員傷亡通報。
在此之前，連接巴黎與義大利杜林（Turin）和米蘭（Milan）的火車路線由於山崩損壞隧道，被迫關閉19個月，直到今年3月底才恢復通車。
SNCF和其義大利競爭對手「義大利國營鐵路公司」（Trenitalia）都在這條鐵路提供高速運輸服務。通常僅需6、7個小時就能將乘客從巴黎運送到義大利北部大城。",經濟日報,2025-07-01,,True,法國,"巴黎,米蘭,莫丹,莫赫延谷,杜林",洪水,法國巴黎洪水,法國國家鐵路公司表示，本週猛烈風暴襲擊莫丹地區，導致莫丹車站淹水和軌道淤泥堆積，巴黎到米蘭的高速列車暫停行駛至少數日。洪水造成當地財產損失，但無人員傷亡。此事件影響法國與義大利之間的交通運輸，需全面清理檢修後方能恢復。,洪水導致莫丹鎮財產損失，無報告人員傷亡或撤離人數。高鐵路線暫停影響巴黎到米蘭的交通，波及法國邊境地區和義大利北部，預計延遲數日復駛，凸顯風暴對基礎設施的破壞。
（影）中國強降雨災情慘! 甘肅山體滑坡2死貴州榕江洪水一週兩淹4萬人撤離| 中國,https://newtalk.tw/news/view/2025-07-03/979766,"2 日 至 3 日中國甘肅隴南市局部出現強降雨天氣，隴南市徽縣有街道被淹，部分山區因降雨導致山體滑波。3 日，《新京報》記者從隴南市徽縣政府部門獲悉山體滑坡致 2 人不幸身亡，上述兩人均為當地一處施工工地內人員，目前，救援工作仍在進行中。
有畫面也顯示出，貴州榕江爆發嚴重洪水，原先洪水退去、居民都開始清理家園了，結果強降雨再次侵襲，城區一周內兩度被洪水淹沒。
全站首選：管仁健觀點》韓國瑜為何要暗酸黃國昌是「三姓家奴」？
貴州榕江縣近日遭遇嚴重水患，因地處三江交匯、地勢低窪，成為此次洪災重災區。雖然前一波洪水退去，居民才剛開始忙著清理家園，沒想到 28 日官方又發布最新防汛預警，緊急呼籲全城居民儘速撤離避險。
根據《央視》報導，截至 28 日晚間 6 點，榕江縣已有超過 4.1 萬名民眾緊急撤離家園，部分地區車輛被要求全面撤出、只出不進。央視記者也在現場直擊，街頭可見大批民眾攜家帶眷、開車逃往城外，主要路口一度大塞車，市區交通幾乎癱瘓。
據統計，28 日下午 5 點過境的洪峰水位已達 253 公尺，災區街道洪區副指揮長田耕說：「對我們低窪地帶的小區，看還有沒有人員，我們把他全力疏散出來。」
另外，河南西峽發生強降雨發生大洪水，據河南省南陽市消防部門了解，截至目前，已搜尋到5名人員，均無生命體徵，現場搜救工作仍在進行中。
貴州榕江縣的水
傷亡人數目前沒有官方報出 pic.twitter.com/9jq1d5Nu4a
有畫面也顯示出，貴州榕江爆發嚴重洪水，原先洪水退去、居民都開始清理家園了，結果強降雨再次侵襲，城區一周內兩度被洪水淹沒。   影：翻攝自 X 沐陽
河南西峽發生強降雨發生大洪水，據河南省南陽市消防部門了解，截至目前，已搜尋到5名人員，均無生命體徵。   圖：翻攝自 央視",Newtalk新聞,2025-07-03,https://images.newtalk.tw/resize_action2/800/album/news/980/686641b0652e1.png,True,中國,"隴南市,徽縣,榕江縣,西峽",洪水,中國隴南市大雨,中國近期強降雨導致多地災害。在甘肅隴南市，局部強降雨引發山體滑坡，造成2人死亡，救援持續中。貴州榕江縣洪水兩度淹沒城區，逾4.1萬居民緊急撤離。河南西峽也遭受洪水，導致5人死亡。整體事件凸顯雨災對多省的嚴重影響。,中國強降雨災害造成甘肅隴南山體滑坡2人死亡、河南西峽洪水5人死亡，總計7人喪生。貴州榕江縣有4.1萬人撤離，城區交通癱瘓並兩度被洪水淹沒。影響範圍涵蓋甘肅、貴州和河南多地，導致嚴重財產損失和基礎設施受損。
7/6國內線全取消! 華航、虎航、長榮國際線航班異動,https://news.ltn.com.tw/news/life/breakingnews/5097612,"丹娜絲路徑圖。（氣象署提供）
首次上稿 20:16
更新時間 21:24
〔記者吳亮儀／台北報導〕〔記者吳亮儀／台北報導〕輕度颱風丹娜絲預計明天和下週一上半天影響台灣最劇烈，交通部民航局今天（5日）晚間統計，明天立榮、華信的國內線航班全數取消，華航、長榮和虎航有部分航班異動。
民航局表示，受丹娜絲颱風影響，明天空運國內線多數取消，華航與台灣虎航國際線則有部分異動；長榮航空晚間也取消明天高雄往返福岡BR119/120、高雄往返首爾BR171/172、高雄往返香港BR849/850、高雄往返浦東BR705/706航班。
民航局表示，今天已啟動防颱應變機制，除要求業者航機派遣作業需符合防颱作業程序並妥善維護旅客權益，民航局也提醒旅客留意航班動態。隨丹娜絲颱風逐漸接近台灣，今天（5日）截至傍晚18時，國內線取消22架次、延誤4架次，國際線未受影響。因澎湖、金門航線今日候補旅客較多，為協助疏運旅客，民航局已協調立榮航空澎湖—台北航線放大機型2架次，華信航空金門—台北航線加開班機2架次。
民航局指出，根據國籍業者提供的最新動態，明日立榮與華信國內線全部取消，德安西線取消，東線則逐班視颱風動態調整；國際線部分，華航、長榮與虎航則有部分調整，後續業者在今晚與明天上午都會根據颱風最新動態召開防颱會議調度航班。
民航局已要求航空公司需妥善維護旅客權益，除於官網公布即時航班訊息並通知旅客及提供必要協助。旅客出發前，也務必先向航空公司確認航班動態，以利行程安排。
民航局整理7/6日各家航空公司航班異動。（民航局提供）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-07-05,https://img.ltn.com.tw/Upload/news/600/2025/07/05/phpap5vqG.jpg,True,台灣,"台北,高雄,澎湖,金門,福岡,首爾,香港,浦東",颱風,台灣屏東颱風,輕度颱風丹娜絲預計於7/6和7/8上半天最劇烈影響台灣，導致交通部民航局取消當天所有立榮和華信國內線航班，並有華航、虎航及長榮部分國際線異動。民航局已啟動防颱機制，協調加開航班並提醒旅客注意航班動態，以維護權益。,颱風丹娜絲導致台灣航空運輸受影響，7/5已取消國內線22架次、延誤4架次；7/6全數取消立榮與華信國內線航班，並有長榮取消高雄往返福岡、首爾、香港及浦東等航班。影響範圍涵蓋台灣國內及部分國際航線，無提及死亡或財產損失，但可能影響旅客出行和權益。
日本鹿兒島規模4.0地震 無海嘯風險,https://money.udn.com/money/story/5599/8838819,"日本鹿兒島縣當地時間今天下午4時56分（台北時間下午3時56分）發生規模4.0地震，最大震度4，沒有引發海嘯的風險。
根據日本氣象廳，震央位於吐噶喇列島近海，震源深度20公里，鹿兒島縣十島村觀測到最大震度4。
吐噶喇列島近海今天下午連續發生多次地震，規模最大的為下午4時12分規模5.1地震，最大震度4。
吐噶喇群島的寶島、小寶島、惡石島近海一帶，向來是群發地震頻繁發生的地區，在2023年9月，曾在2天內觀測到292次有感地震。",經濟日報,2025-06-29,,True,日本,"鹿兒島縣,吐噶喇列島,十島村,寶島,小寶島,惡石島",地震,日本鹿兒島縣地震,日本鹿兒島縣於當地時間下午4時56分發生規模4.0地震，最大震度達4級，震央位於吐噶喇列島近海，深度20公里。當天該地區連續發生多起地震，其中規模最大的為5.1，無海嘯風險。吐噶喇列島一帶為群發地震高發區，曾在2023年9月內記錄292次有感地震，影響當地監測。,此次地震最大震度4，位於鹿兒島縣十島村及吐噶喇列島近海，無報告死亡人數、撤離人數或財產損失。影響範圍限於該地區海域，無海嘯風險，且無提及進一步破壞，屬於群發地震現象。
日本鹿兒島近海規模5.1地震 無海嘯風險,https://money.udn.com/money/story/5599/8841108,"日本鹿兒島縣當地時間今天下午6時33分（台北時間下午5時33分）發生規模5.1地震，最大震度5弱，沒有引發海嘯的風險。
根據日本氣象廳資料，震央位於吐噶喇列島近海，震源深度30公里，鹿兒島縣十島村觀測到最大震度5弱。
吐噶喇列島的寶島、小寶島、惡石島近海一帶，向來是群發地震頻繁發生的地區，在2023年9月曾在2天內觀測到292次有感地震。",經濟日報,2025-06-30,,True,日本,"鹿兒島縣,吐噶喇列島,十島村,寶島,小寶島,惡石島",地震,日本鹿兒島縣地震,日本鹿兒島縣於當地時間下午6時33分（台北時間下午5時33分）發生規模5.1地震，震央位於吐噶喇列島近海，震源深度30公里，最大震度達5弱。該地區為地震頻繁發生地，無引發海嘯風險。根據日本氣象廳資料，此次事件未伴隨其他重大災害。,此次地震無報告死亡人數、撤離人數或財產損失。影響範圍限於鹿兒島縣十島村及吐噶喇列島一帶，最大震度5弱。無海嘯風險，僅強調該區為地震高發區，但無進一步損失數據。
7/5末日預言倒數！氣象署4海嘯避難守則提醒：往高處移動| 生活,https://newtalk.tw/news/view/2025-07-04/979899,"7月5日末日預言前，日本鹿兒島外海吐噶喇群島近期發生破千起地震，位於日本九州的新燃岳火山近日也火山噴發，讓該傳言引起恐慌，對此，中央氣象署也提醒地震、海嘯發生的4大應對守則，往高處、往內陸、找堅固，抓牢固，提醒大家做好防災準備。
日本漫畫家龍樹諒的作品《我所見看的未來》，過去曾預測出新冠疫情、311大地震等多起國際重大事件，而裡面也提到7月5日將有大地震侵襲日本，而剛好在最近日本九州南部、橫跨鹿兒島與宮崎兩縣的新燃岳火山，自6月27日以來持續活躍，鹿耳島地區也發生上千起地震，讓末日傳聞受到討論。
全站首選：管仁健觀點》韓國瑜為何要暗酸黃國昌是「三姓家奴」？
對此，氣象署在臉書「報地震 - 中央氣象署」，提醒地震、海嘯發生的4大應對守則，指出不管明日的地震預言有沒有成真，對災害多一份關心、早一步準備，總是好事。如果真的遇上海嘯來襲，不要傻傻待在原地，務必立刻記則這4大口訣避難「往高處、往內陸、找堅固、抓牢固」。
往高處：若所在的位置附近正好有高樓或山坡，請往高處移動。建議待在 3 層樓高，約 10 公尺以上的區域，靜靜等待警報解除；往內陸：若附近沒有高處，請往內陸移動，盡量遠離海岸線。短程移動不建議開車，以免塞車、影響逃生，或是連人帶車被海嘯捲走。
海嘯來襲時，最理想的狀態就是逃往高處或內陸，但如果你不幸剛好在海邊或低窪地區，眼看海嘯就在不遠處，真的、真的來不及逃跑 ，可以採取下列 2 種行動。
找堅固：若來不及往高處或內陸移動，建議就地尋找堅固的建築物避難，並且盡可能打開所有門窗，減少海嘯對建築物的衝擊；抓牢固：若不幸落入水中、遭海嘯沖走，請保持冷靜，抓住大型漂浮物，或是想辦法爬上附近相對較高的固定物，等待後續救援。
另外，千萬不要在第一波海嘯結束後，立刻折返原地！畢竟可能還會有第二波、第三波，而且不一定是幾分鐘內就會襲來，有可能間隔長達數小時，誰都說不準。因此，建議持續關注氣象署海嘯資訊，等到「海嘯警報解除」或「海嘯警訊解除」的消息發布後，再返回原處。海水退去後，若發現遭海嘯沖毀的設施或建築物，請勿隨意接近，以免倒塌造成二次傷害。
氣象署在臉書「報地震 - 中央氣象署」，提醒地震、海嘯發生的4大應對守則，「往高處、往內陸、找堅固、抓牢固」。   圖：翻攝自中央氣象署",Newtalk新聞,2025-07-04,https://images.newtalk.tw/resize_action2/800/album/news/975/683ddb9a321f3.jpg,True,日本,"吐噶喇群島,九州,新燃岳火山,鹿兒島,宮崎",地震,日本吐噶喇群島海嘯,日本近期面臨7月5日末日預言，涉及鹿兒島地區上千起地震和新燃岳火山噴發，引發海嘯擔憂。中央氣象署提醒地震和海嘯應對守則，包括往高處或內陸移動、尋找堅固建築，以及在水中抓牢漂浮物，以減低災害風險。文章強調預先準備的重要性，並回顧過去預言如311大地震的準確性。,文章未提供具體損失數據，如死亡人數或財產損失，但討論日本地震和海嘯的潛在影響，可能波及鹿兒島和宮崎縣，強調災害持續風險。過去事件如311大地震已造成重大傷亡，提醒公眾注意二次災害，避免返回危險區域直到警報解除。
日本鹿兒島與秋田發生有感地震 無海嘯威脅,https://money.udn.com/money/story/5599/8847387,"日本鹿兒島縣十島村今晨起相繼發生震度4與3不等的地震；位在日本東北地區的秋田縣今天上午7時33分左右，發生最大震度3的地震，前述區域已觀測到的地震並無海嘯威脅。
日本放送協會（NHK）報導，位在九州外海的十島村，今晨起陸續發生多起地震，其中惡石島今天上午6時51分左右（台北時間5時51分）觀測到最大震度4，小寶島與鹿兒島縣的奄美市觀測到震度2。
吐噶喇列島的惡石島與小寶島附近等地，上月21日以來地震活動變得頻繁，惡石島6月30日與昨天也曾發生震度5弱的地震。
這個區域2023年與2021年也曾出現頻繁的地震活動，不過近日測得震度1以上的地震次數大幅超越過去案例。
另外，秋田縣今天上午7時33分左右（台北時間6時33分左右）發生的地震，推估規模3.8，震央位於秋田縣內陸的南部地區，震源深度10公里。
秋田縣大仙市測得最大震度3；秋田縣仙北市與美鄉町觀測到震度2；秋田市、岩手縣花卷市等地測得震度1。",經濟日報,2025-07-03,,True,日本,"鹿兒島縣十島村,惡石島,小寶島,奄美市,秋田縣,大仙市,仙北市,美鄉町,秋田市,岩手縣花卷市",地震,日本鹿兒島縣地震,日本鹿兒島縣十島村今日發生多起地震，最大震度達4級，位於惡石島和小寶島等地；秋田縣亦發生規模3.8的地震，最大震度3，震源深度10公里。該地區自上月以來地震活動頻繁，超越過去案例，但無海嘯威脅，專家監測持續增加的地震次數。,本次地震無報告死亡人數、撤離人數或財產損失。影響範圍包括鹿兒島縣的十島村、惡石島、小寶島及奄美市，以及秋田縣的大仙市、仙北市、美鄉町等地，震度最高為4級，無進一步災害威脅。
近期最強搖晃！鹿兒島規模5.5地震、十島村震度「6弱」 海自P-1緊急升空查看| 國際,https://newtalk.tw/news/view/2025-07-03/979784,"日本時間3日下午4時13分左右（台北時間下午3時13分），鹿兒島縣十島村惡石島觀測到震度「6弱」的強烈地震，震源位於吐噶喇列島近海，震源深度約20公里，地震規模推估為芮氏規模5.5。日本海上自衛隊於地震發生後迅速反應，派遣駐鹿屋基地的P-1海上巡邏機起飛，執行上空情報蒐集任務，以確認島嶼周邊是否有損害或異狀。
日本氣象廳表示，此次地震無引發海嘯之虞，但由於近期該地區地震活動頻繁，呼籲民眾注意後續可能發生的強震及山崩、落石等次生災害。根據統計，自6月21日起，吐噶喇列島近海已發生超過1030次震度1以上的地震，其中包括多次震度5弱及以上的強震。此次震度6弱為近期最強烈的一次，惡石島震感強烈，小寶島則觀測到震度3。十島村當局表示，截至目前未接獲重大災情通報，但地震頻發引發居民不安。
持續更新：（影）中國山東號航艦編隊訪問香港5天 主力戰艦型號「一次到位」
專家指出，吐噶喇列島位於火山活動活躍區域，地震頻發可能與海底地質活動有關，但目前尚無證據顯示與更大規模地震如南海槽地震直接相關。",Newtalk新聞,2025-07-03,https://images.newtalk.tw/resize_action2/800/album/news/980/6866449414063.jpg,True,日本,"鹿兒島縣,十島村,惡石島,吐噶喇列島近海,吐噶喇列島,小寶島,鹿屋基地",地震,日本鹿兒島縣地震,日本鹿兒島縣十島村於3日下午發生芮氏規模5.5地震，震源位於吐噶喇列島近海，深度約20公里，震度達6弱。海上自衛隊派遣P-1巡邏機調查周邊狀況，無海嘯風險。但自6月21日起，該地區已超過1030次地震活動，居民面臨強震及次生災害威脅，如山崩和落石。,此次地震無報告重大損失，無死亡人數、撤離人數或財產損失數據。截至目前，十島村未有災情通報。影響範圍涵蓋鹿兒島縣十島村、惡石島（震度6弱）及小寶島（震度3），因地震頻繁，可能引發次生災害如山崩，呼籲民眾持續警戒。
7月5日大地震前震? 日本鹿兒島海域發生5.5地震此前當地已有超過800次地震| 國際,https://newtalk.tw/news/view/2025-07-02/979600,"被譽為「日本龍婆」漫畫家竜樹諒，預言「日本 7 月 5 日將發生毀滅性大地震，1／3 國土都將消失」。而日本最近就巧合性的發生地震。
日本鹿兒島縣附近海域今 ( 2 ) 日發生強烈地震。日本氣象廳發佈消息稱，當地時間 15 時 26 分左右，鹿兒島縣吐噶喇列島近海附近發生 5.5 級地震，最大震感為震度 5 弱，震源深度10公里。本次地震沒有引發海嘯的風險。
當前熱搜：丹娜絲變大又增強 台灣颱風論壇:穿越黑水溝西部風雨更猛烈
吐噶喇列島位於鹿兒島縣南部，由 12 座島組成，其中 7 座有人居住。6 月 21 日以來，當地已監測到超過 800 次有感地震，其中多次達到 5.1 級。日本氣象廳此前警告，未來仍可能發生更強地震，呼籲民眾保持警惕。
被譽為「日本龍婆」漫畫家竜樹諒，預言「日本 7月 5日將發生毀滅性大地震，1／3 國土都將消失」。   圖 : 翻攝自竜樹諒《我所看見的未來》",Newtalk新聞,2025-07-02,https://images.newtalk.tw/resize_action2/800/album/news/980/6865067968f31.jpg,True,日本,"鹿兒島縣,吐噶喇列島",地震,日本鹿兒島縣地震,日本鹿兒島縣吐噶喇列島近海發生5.5級地震，震源深度10公里，最大震感為震度5弱。該地區自6月21日起已記錄超過800次有感地震。日本氣象廳表示，無海嘯風險，但警告未來可能有更強地震，呼籲民眾保持警惕，以防潛在危害。,本次地震未報告任何損失數據，如死亡人數、撤離人數或財產損失。影響範圍限於鹿兒島縣吐噶喇列島及其附近海域，該地由12座島組成，其中7座有人居住。日本氣象廳呼籲民眾提高警覺，預防未來可能更強的地震活動。
希臘克里特島野火延燒 當局緊急撤離數千人,https://money.udn.com/money/story/5599/8848126,"希臘熱門度假勝地克里特島（Crete）今天發生野火，火勢波及森林一帶，甚至威脅民宅。消防人員奮力與大火搏鬥，並緊急疏散島上至少4個聚落的居民與觀光客。
路透社報導，希臘消防當局表示，至少有155名消防員、38輛消防車及灑水車在希臘最大島的東南沿岸城鎮耶拉派特拉（Ierapetra）參與滅火行動。
在強風助長下，今天下午爆發的火勢迅速延燒，不僅阻礙救火行動，多處火勢更是死灰復燃。當局指出，增援人員正緊急從雅典搭乘船隻與飛機趕赴現場。
一名消防官員匿名表示：「這場火災非常棘手，目前仍在延燒。」他說，火勢難以撲滅的原因在於強風和地形帶來的挑戰。
據當地電視台報導，有些民宅已遭大火損毀，所幸目前未傳出有人員傷亡。當局稍早下令撤離阿克利亞（Achlia）及鄰近3個聚落。地方官員指出，已將大約3000人安置到臨時避難所。
此外，希臘消防員今晚也在基西拉島（Kythera）和北部的哈奇帝奇（Chalkidiki）地區試圖撲滅野火。",經濟日報,2025-07-03,,True,希臘,"克里特島,耶拉派特拉,阿克利亞,基西拉島,哈奇帝奇,雅典",野火,希臘克里特島野火,希臘克里特島發生野火，火勢迅速延燒森林並威脅民宅，強風助長火災難以控制。消防隊出動155名隊員、38輛車輛滅火，並從雅典增援人員。當局已撤離約3000人至避難所，無人員傷亡報告。火災也波及基西拉島和哈奇帝奇地區。,野火導致約3000人撤離，部分民宅遭損毀，無死亡或傷亡報告。影響範圍包括克里特島東南沿岸城鎮如耶拉派特拉和阿克利亞等地，以及基西拉島和哈奇帝奇地區。消防隊持續滅火，但強風和地形增加挑戰。
加州今年最大野火「馬德雷大火」 延燒逾7萬英畝,https://news.ltn.com.tw/news/world/breakingnews/5097657,"美國加州爆發「馬德雷大火」（Madre Fire），消防員在New Cuyama附近滅火。（路透）
〔中央社〕美國加州今年以來最大規模野火過去3天來已吞噬超過7萬英畝土地，當局已經派出數百名消防員救火，力圖控制火勢。
法新社報導，「馬德雷大火」（Madre Fire）2日在加州中部鄉村地區聖路易奧比斯波郡（San Luis Obispo County）爆發。約200人接獲疏散命令，數十棟建築受火勢威脅。
根據加州森林防火廳（Cal Fire）今天提供的最新數據，這場野火2日以來已吞噬7萬800英畝土地，當局已派出超過600名消防員以及40輛消防車，力圖控制火勢。
這是加州今年以來最大規模野火；年初，加州就曾遭野火肆虐，當時燒毀洛杉磯大片地區。
這是美國總統川普（Donald Trump）下令削減氣候災害應變相關聯邦機構預算及員額後的第一個夏季，受影響機構包含農業部林務署（Forest Service）、國家海洋暨大氣總署（NOAA）與聯邦緊急事故管理總署（FEMA）。
加州州長紐松（Gavin Newsom）今天指出，過去24小時，加州的聯邦土地上新增了15起野火。他呼籲總統川普優先撥款以強化消防資源。
紐松在社群平台X上寫道：「川普必須清醒過來，開始提供資金給這些鄉村地區的聯邦消防員與土地管理團隊，而不是幫億萬富豪減稅。」
紐松2日指控川普未編列足夠經費支持野火防治計畫。紐松在記者會上說：「我們需要相稱的資源投入，而非空泛口號。」他指出，加州超過50％土地是由聯邦政府管轄。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-07-05,https://img.ltn.com.tw/Upload/news/600/2025/07/05/php8gDhHz.jpg,True,美國,"加州,New Cuyama,聖路易奧比斯波郡,洛杉磯",野火,美國加州野火,美國加州爆發「馬德雷大火」，已燒毀超過7萬800英畝土地，位於聖路易奧比斯波郡中部鄉村地區。約200人接獲疏散命令，數十棟建築受火勢威脅。超過600名消防員和40輛消防車正全力控制火勢，這是今年以來加州最大規模野火，州長紐松呼籲聯邦政府增撥資源應對。,此次野火已燒毀7萬800英畝土地，導致約200人疏散，數十棟建築受威脅。影響範圍涵蓋加州聖路易奧比斯波郡中部鄉村地區，當地動員超過600名消防員和40輛消防車滅火，無明確死亡或財產損失數據，但火勢持續威脅社區安全。
熱浪席捲歐洲 西班牙山林大火2死,https://news.ltn.com.tw/news/world/breakingnews/5093932,"加泰隆尼亞地區主席伊拉在X上指出，他得知2人因火災喪生後感到震驚。（歐新社）
〔編譯謝宜哲／綜合報導〕西班牙消防員1日說，西班牙東北部熱浪侵襲，一場大火過後，他們發現了2具屍體。本週席捲歐洲熱浪打破高溫紀錄，學校停課，加劇火災風險。
根據《法新社》報導，雷里達省1日幾乎同時發生2起山火，1.4萬人被加泰隆尼亞地區當局要求在家隔離。消防和緊急服務部門指出，起發生在科斯科市（Cosco）附近的火災發現2人死亡。
火災具體原因尚不清楚，但消防部門說，近期高溫、乾燥天氣以及風暴帶來的強風加劇火勢。加泰隆尼亞地區主席伊拉（Salvador Illa）在X上指出，他得知2人因火災喪生後感到震驚。
西班牙正處於強烈熱浪中，許多地方氣溫超過攝氏40度，創下了6月多項高溫紀錄。南部城市科爾多瓦和巴塞隆納都有1人死亡，2人均在6月28日道路施工時死亡，很可能是中暑。
科學家指出，人為造成的氣候變化，熱浪和暴風雨等極端天氣事件正變得更加猛烈。
在過去的熱浪中，歐洲已有數萬人喪生，這促使當局向老年人、兒童、病人以及其他易受專家所稱的「隱形殺手」影響人群發出警告。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-07-02,https://img.ltn.com.tw/Upload/news/600/2025/07/02/5093932_1_1.jpg,True,西班牙,"加泰隆尼亞地區,雷里達省,科斯科市,科爾多瓦,巴塞隆納",野火,西班牙加泰隆尼亞地區野火,西班牙東北部遭受熱浪侵襲，導致山林大火在雷里達省爆發，造成2人死亡。當地1.4萬人被要求在家隔離，高溫超過攝氏40度，乾燥天氣和強風加劇火勢。科學家指出，這與氣候變化相關，歐洲熱浪正變得更頻繁且猛烈。,本次野火事件造成2人死亡，另有1.4萬人被要求在家隔離。影響範圍涵蓋西班牙東北部加泰隆尼亞地區，特別是雷里達省。高溫超過攝氏40度加劇火災風險，科學家警告氣候變化使極端天氣更嚴重，無財產損失數據提及。
歐洲野火蔓延 土耳其法國希臘消防人員疲於奔命,https://money.udn.com/money/story/5599/8853562,"土耳其、法國和希臘等歐洲多國今天爆發多起野火。熱浪侵襲多日之後，這些國家南部的消防人員無不疲於奔命、忙著滅火。
法新社報導，在土耳其，乾旱肆虐影響下，消防人員過去一週因應的火災數量多達600多起。當局表示，伊茲米爾省（Izmir）有1名林場工作人員於滅火時受傷，後傷重不治身亡。
農林部長尤馬克里（Ibrahim Yumakli）在社群平台X發文表示，伊茲米爾省這場大火已於昨晚獲得控制。他說，主要發生在西部和中部的另外6處森林大火，同樣獲得控制。
然而，土耳其南部濱海地區多提爾（Dortyol）的大火火勢還未撲滅。當地靠近土耳其和敘利亞交界處。
土耳其大致躲過了最近席捲南歐的熱浪，但強風卻加劇森林火勢。
在法國，氣象局今天表示，6月19日開始的這波熱浪昨天正式結束，前後共16天，與2003年那波致命熱浪天數相同。
不過，就在同一天，本季首波大火在法國南部爆發，包括隆河口省（Bouches-du-Rhone）和埃羅省（Herault），以致當局在暑假第一個週末就關閉一條主要高速公路的部分路段。
埃羅省省會蒙貝列（Montpellier）不遠的米爾瓦勒（Mireval），一場大火在風勢助長下蔓延，消防人員疏散約10人。
在希臘艾維亞島（Evia），昨晚至今晨期間有部分地區遭大火肆虐，一名疑似引發火災的52歲男子已經被捕。
希臘廣播電視公司（ERT）報導，這名男子疑似在清理一片灌木叢時，火勢突然爆發並迅速失控。
鑒於各地氣溫居高不下、強風不斷，希臘消防員今天仍處於高度戒備狀態。",經濟日報,2025-07-06,,True,土耳其,"伊茲米爾省,多提爾,隆河口省,埃羅省,蒙貝列,米爾瓦勒,艾維亞島",野火,土耳其伊茲米爾省野火,歐洲多國包括土耳其、法國和希臘正面臨野火危機，起因於持續熱浪和乾旱。土耳其發生超過600起火災，導致1名林場工作人員死亡。法國南部大火迫使約10人疏散，希臘艾維亞島則有一人因涉嫌引發火災被捕。消防人員在強風下疲於奔命，火勢仍在多地延燒。,土耳其野火造成1人死亡，並發生超過600起火災，影響西部和南部地區。法國南部疏散約10人，受災於隆河口省和埃羅省。希臘艾維亞島火災導致1人被捕。整體影響涵蓋土耳其、法國和希臘南部地區，伴隨熱浪加劇損失，無財產損失數據詳述。
土耳其西部伊茲米爾省野火 死亡增至3人,https://money.udn.com/money/story/5599/8853113,"土耳其官員今天表示，西部伊茲米爾省（Izmir）厄代米什縣（Odemis）爆發的野火再添1名林業工人傷重不治，使得罹難人數上升至3人，所幸當地火勢已獲控制。
法新社報導，土耳其過去一週雖未如南歐其他地區遭遇熱浪侵襲，卻受乾旱所苦，當地消防員必須撲滅600多起野火，但大風助長火勢。
厄代米什位在度假勝地伊茲米爾市東方約100公里處，當地野火已在3日奪走2人性命，分別是1名81歲臥床男子及1名39歲林業工人。
土耳其農林部長尤馬克里（Ibrahim Yumakli）今天在社群媒體平台X發文表示，另1名林業工人沙辛（Ragip Sahin）在滅火時受傷送醫治療，如今也傷重不治。
尤馬克里還說，截至昨天晚間，厄代米什和土耳其另外6地野火已獲控制，大多在西部與中部地區；但南部哈泰省（Hatay）濱海的多提爾縣（Dortyol）野火仍未獲控制。
厄代米什市長杜欒（Mustafa Turan）在X平台發布影片表示：「大火來得猛烈，把一切燒得精光，約5000公頃土地化為灰燼。」
土耳其救難人員已在6月30日撤離了5萬多人，以免受到連串野火波及。",經濟日報,2025-07-05,,True,土耳其,"伊茲米爾省,厄代米什縣,哈泰省,多提爾縣",野火,土耳其伊茲米爾省野火,土耳其西部伊茲米爾省厄代米什縣發生野火，導致死亡人數增至3人，包括兩名林業工人和一名81歲男子。火勢已獲控制，但約5000公頃土地被燒毀。土耳其近期受乾旱影響，發生逾600起野火，大風助長火勢，並已於6月30日撤離5萬多人以避險。,此次野火事件造成3人死亡，包括林業工人；約5000公頃土地化為灰燼，受影響地區涵蓋西部伊茲米爾省及南部哈泰省。土耳其因乾旱和大風引發逾600起野火，當地已撤離5萬多人，火勢雖多獲控制，但仍對生態和財產造成嚴重損失。
