標題,連結,內文,來源,時間,圖片,is_disaster
緬甸7.7強烈淺層地震！泰越印中都感搖晃屋倒橋斷傷亡不明| 國際,https://newtalk.tw/news/view/2025-03-28/962869,"當地時間2025年3月28日中午12時50分左右（台灣時間14時20分），緬甸中部發生規模7.7的強烈地震，震央位於薩加因（Sagaing）西北偏北16公里處，震源深度僅10公里。美國地質調查局（USGS）及德國地球科學研究中心（GFZ）均確認此次地震的強度與淺層特性，顯示其可能對地表造成顯著影響。目前，緬甸官方尚未發布具體傷亡或損失報告，但由於該國正處於內戰之中，相關資訊可能延遲。
根據當地及國際媒體報導，這次地震的震央靠近緬甸第二大城市曼德勒（Mandalay），當地居民表示感受到劇烈搖晃，部分建築出現搖晃現象。地震波及範圍廣泛，鄰國泰國、越南、印度及孟加拉等地均有震感傳出。其中，泰國首都曼谷距離震央約700公里，當地高樓搖晃明顯，大量民眾驚慌撤離建築物，街頭人群聚集，泳池水面甚至出現明顯波動。一名清邁居民向媒體表示：「我正在睡覺，聽到聲響後立刻穿著睡衣跑出門。」此外，印度德里首都圈（Delhi-NCR）及雲南、四川部分地區也報告有輕微震感，但未見顯著損壞。
專家指出，緬甸位於歐亞板塊與印度-澳洲板塊交界處，薩加因斷層（Sagaing Fault）是該國主要的地震活動帶之一。此次地震屬於淺層地震，能量釋放集中，可能引發較強烈的地面震動。日本氣象廳已確認，此次地震不會對日本沿海地區產生海嘯威脅。歷史數據顯示，緬甸平均每年發生約720次地震，其中7級以上地震約每4至5年一次，顯示該地區具一定地震風險。
由於緬甸當前政局動盪，通訊與救援系統可能受限，國際社會正密切關注後續發展。泰國當局已啟動緊急應變措施，檢查建築結構安全，並呼籲民眾保持警惕。隨著更多資訊陸續傳出，外界期待緬甸能盡快提供災情評估，以利國際援助展開。
緬甸中部28日中午發生規模7.7的強烈、淺層地震。   圖：翻攝「X」@deZabedrosky",Newtalk新聞,2025-03-28,https://images.newtalk.tw/resize_action2/800/album/news/963/67e64d12cd9c6.jpg,True
大洋洲島國東加規模7.1強震 海嘯警報發布,https://news.ltn.com.tw/news/world/breakingnews/4996677,"大洋洲島國東加外海發生規模7.1強震。（擷取自美國地質調查局；本報合成）
李秋明／核稿編輯
〔即時新聞／綜合報導〕大洋洲島國東加今（30）日發生芮氏規模7.1、深度僅10公里的強烈地震，美國太平洋海嘯警報中心後續也發出海嘯警報。
《美聯社》報導，美國地質調查局（USGS）表示，這場地震發生在當地時間週一淩晨，震央位東加主島東加塔布（Tongatapu）東北約100公里處。
美國太平洋海嘯警報中心後續發布海嘯警告稱，震央300公里內的海岸應警戒海嘯，浪高可能約0.3到1公尺。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-03-30,https://img.ltn.com.tw/Upload/news/600/2025/03/30/phptON0sd.png,True
東加規模7.3強震觸發海嘯警報 專家曝對台影響,https://news.ltn.com.tw/news/life/breakingnews/4996751,"大洋洲島國東加外海發生規模7.3強震。（擷取自美國地質調查局；本報合成）
陳定瑜／核稿編輯
〔即時新聞／綜合報導〕大洋洲島國東加週日（30日）晚間發生芮氏規模7.3的強震，震央在塔布島東北方外海。我國氣象署第一時間發布海嘯消息，不過地震測報中心主任吳健富表示，台灣民眾無須過度擔心。
本月28日緬甸才發生規模8.2的超強地震，造成慘重災情，引發國際關注。今晚8點多東加又發生規模7.3的強震，美國太平洋海嘯警報中心（Pacific Tsunami Warning Center）後續發出海嘯警報，我國氣象署也在30日晚間8點30分發布海嘯消息，近日有關地震的國際新聞頻傳，讓不少台灣民眾相當擔憂。
不過根據《NOWnews今日新聞》報導，地震測報中心主任吳健富表示，東加群島本來就是地震好發帶，只要規模達到7以上且深度又淺，就容易引起海水波動，太平洋海嘯警報中心中心基於防災考量，向周邊國家發布海嘯資訊，台灣被列為「不受影響區域」，氣象署發布的海嘯資訊並非警報，民眾不用過度擔憂。
由於東加群島上人口較少，目前暫未傳出災情。氣象署的海嘯資訊，已於30日晚間9點27分解除。
氣象署30日晚間8點30分發布海嘯消息。（圖翻攝自中央氣象署地震測報中心）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-03-31,https://img.ltn.com.tw/Upload/news/600/2025/03/30/php0gD5gL.png,True
緬甸地震死亡人數超過1600人，民眾徒手挖掘倖存者,https://www.bbc.com/zhongwen/articles/c3evjv4pkzpo/trad,"圖像來源，
REUTERS
緬甸在週五（3月28日）發生毀滅性的地震，已造成1,600多人死亡，當地民眾告訴BBC，他們只能徒手在廢墟中挖掘倖存者。
地震使曼德勒（Mandalay）大部分地區夷為平地。曼德勒是緬甸的古都和第二大城市，約有150萬人口。
由於設備嚴重匱乏、通訊網路不暢、以及道路和橋樑受損，搜救工作受到阻礙。
緬甸軍政府或軍政府於2021年奪取政權，經過四年與叛亂組織的內戰和反政變抵抗之後，也不再能控制該國大部分地區。
儘管救援工作自周五開始展開，國際援助也開始進入該國。
圖像來源，
SUPPLIED
美國總統特朗普在週五表示美國願意伸出援手，但考慮到特朗普政府大幅削減美國國際開發總署（USAID）資金，美國將如何實施何種程度的救援在此關頭尚是一個未知數。
美國國際開發總署前高級官員莎拉·查爾斯（Sarah Charles）曾在拜登政府時期負責監督救災隊伍和總體人道主義工作，她表示該系統現在「一片混亂」，沒有足夠的人力和資源迅速作出反應。
週五發生致命地震後，英國國王查爾斯三世（King Charles III）向緬甸人民致哀。在社交媒體上發布的一條消息中，查爾斯國王對地震造成1600多人死亡表示「震驚和悲傷」。
查爾斯三世在聲明中表示，他向所有失去親人、家園或生計的人們表示「最深切的同情」。
中國政府在3月29日下午表示向緬甸提供1億元人民幣用於救災援助，另有兩支救援隊，提供毛毯、帳篷、急救包等物資。
據中國駐緬甸大使館表示，目前已確認有12名中國公民受傷。
香港亦派出救援隊前往緬甸實施救助，並另從賑災基金中留出三千萬元。
台灣總統賴清德表示，如有需要，台灣願意提供必要協助。
圖像來源，
REUTERS
但援助尚未抵達受災最嚴重地區，一般民眾仍在試圖徒手挖出倖存者。
一些網路流傳的影片顯示，兩名男子正在搬運瓦礫，以救出一名被困在兩塊混凝土板之間的年輕女子。
BBC走訪了當地民眾，他們說人們在廢墟下大聲呼救。
在曼德勒一棟12層樓高的公寓大樓倒塌約30小時後，救援人員還從廢墟中救出一名活著的婦女，但紅十字會表示，可能仍有90多人被困在那裡。
曼德勒附近的一個城鎮裡，當局在一所倒塌的幼兒園建築下發現了12名學齡前兒童和一名老師的屍體。
聯合國人道機構人道協調廳稱，緬甸最大城市仰光、首都內比都和曼德勒之間的主要公路出現裂縫和路面變形，造成嚴重的交通中斷。
報告稱，災區目前還面臨醫療用品短缺的問題，包括創傷包、血袋、麻醉劑、基本藥物和供醫護人員使用的帳篷。
在其他地方，救援人員一直在尋找生命跡象的聲音。其中一人說道：「我們只有通過聲音去辨別、這樣才能救人。」
週六早些時候，曼德勒省皎塞縣辛特凱鎮（Sintkai）的一支救援隊從一所私立學校的廢墟中救出了多名被困人員。救援隊到達時，其中六人（五名女性和一名男性）已經死亡。受害者包括學生、老師和學校工作人員。
一名工作人員告訴BBC，缺乏設備極大地減緩了救援速度：「我們只能使用現有的設備實施救援，這導致我們得花好幾個小時才能救出一名被困在倒塌學校下面的女孩。」
圖像來源，
EPA
曼德勒的另一名工人告訴仰光的BBC記者，通訊幾乎無法進行。
「最主要的是我們沒有網路線路，也沒有電話線路，所以很難互相聯絡。救援隊已經到了。但我們不知道他們會去哪裡，因為電話線路斷了。」
一名曼德勒居民說，在混亂的環境中，人們正在盡最大努力。
「救援工作沒有協調，沒有人帶領他們，也沒有人告訴他們該怎麼做。當地人不得不自己想辦法。如果他們在廢墟中發現屍體，他們甚至不知道把屍體送到哪裡；醫院不堪重負，無力應對，」這位居民說。
緬甸軍政府估計，地震震央曼德勒地區受損建築物超過1,500棟。
停電使災區情況更加惡化，據官員稱，距離恢復供電還有幾天時間
曼德勒機場跑道在地震中受損，目前無法運作。軍事委員會表示他們一直在努力使其早日恢復運作，並已在那裡建立了一所臨時醫院、醫療救助營和避難所。
在距離曼德勒不到25公里（15英里）的地方是實皆省（Sagaing），兩地靠兩座橋樑連接，較舊的一座已經完全倒塌，較新的一座出現裂縫，導致救援隊通道受阻。
「現在，甚至連緊急救援的人手都不夠。我們沒辦法收拾屍體，被困的人太多了。我們沒法過橋，所以我們都被困在廢墟裡。請幫助緊急救援人員來救我們，」當地居民告訴BBC。
軍政府總部所在地、新建的首都內比都（Nay Pyi Taw）遭受了餘震和小地震的襲擊。該城市遭受了嚴重破壞，有大量人員傷亡，建築物倒塌，道路彎曲。
儘管軍政府罕見地向國際社會發出援助呼籲，但它仍繼續對其打擊的武裝團體實施空襲和無人機襲擊。
BBC證實，撣邦（Shan）北部瑙喬（Naungcho）的空襲造成7人死亡。這次襲擊發生在當地時間15:30左右，距離地震發生不到三個小時。
致力於推翻軍方權力的民主派叛軍團體報告稱，地震震央、中部實皆地區昌烏鎮（Chang-U）遭到空中轟炸。據報道，泰國邊境附近地區也遭遇了空襲。
聯合國緬甸人權問題特別報告員湯姆·安德魯斯（Tom Andrews）敦促軍政府停止轟炸。
「問題是現在仍有軍事行動在進行......軍政府發動的軍事打擊，」他告訴BBC。
「我呼籲軍政府停止一切軍事行動。這完全是無恥和不可接受的。」",BBC News 中文,2025-03-30,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/fdea/live/e442cde0-0d30-11f0-a746-2131628b08d1.jpg.webp,True
BBC記者現場目擊：救援人員在倒塌的30層建築廢墟中拼命搜尋倖存者,https://www.bbc.com/zhongwen/articles/cewglkxg49zo/trad,"當太陽落山時，數百名救援人員在泰國首都曼谷的一個施工現場，拼命地尋找倒塌的30層摩天大樓中的倖存者。
救援人員正在努力營救被困在廢墟中的數十名工人。
在距離現場不遠的一座橋上，在橙色天空的映照下，包括我在內的一群記者難以置信地看著三層樓高的混凝土堆。
到處是扭曲的電線和突出的金屬。
即使更多專業救援團隊和軍隊抵達並架設了探照燈，找到許多倖存者的希望也很渺茫。
緬甸中部當地時間星期五（3月28日）發生了一次7.7級的淺層地震，幾分鐘後又發生了一次6.4級的餘震，導致建築物倒塌和道路破裂。
在泰國邊境這邊，也感受到了震動和破壞。居民們努力應對這種少見的自然災害。
地震開始時，我正在家裡，這種震動是我以前從未感受過的。
倒塌的大樓屬於國家審計辦公室，已經施工三年，耗資超過20億泰銖（約5900萬美元；4500萬英鎊），現在已成為一片瓦礫。
廢墟周邊已搭起了白色帳篷，戴著明亮黃色安全帽的救援人員正在努力解救估計仍被困在倒塌摩天大樓下的81人。
泰國國防部長普坦（Phumtham Wechachai）告訴記者，已有三人被確認死亡。
早些時候，我看到兩具被覆蓋的遺體被抬到帳篷裡。
建築旁的道路上擠滿了消防車、救護車和其他救援車輛。
好奇的市民也加入我們，站在橋上觀看，試圖了解發生了什麼。
重型機械開始抵達，包括一台大型起重機。救援人員表示，他們需要這些機械來清除瓦礫，然後才能開始搜尋失蹤者。
倒塌發生後不到一小時，我便抵達現場，看到施工工人滿身灰塵，對剛剛經歷的災難感到震驚。
阿迪森·甘法森（Adisorn Kamphasorn）當時正在從六樓搬運材料，突然感到震動。這位18歲的工人抬頭看向樓梯間，看到起重機在搖晃。
他告訴我：「我知道情況會很糟。我跑了。倒塌只用了不到一分鐘。突然間，到處都是煙霧，所有東西都變黑了。我無法呼吸。我沒有口罩。」
他還沒有和家人聯繫，因為在混亂中丟失了手機，他表示自己一生中從未經歷過這樣的事情。他以為自己會死。
施工工人告訴我，工人當中既有泰國人，也有緬甸人。
30歲的努庫爾·克穆塔（Nukul Khemutha）當時正在五樓工作，感到震動時抬頭看到所有樓層都在下沉，地下出現了一個洞。
他說，他的一位同事剛剛上到十樓去洗手間，他們仍在等待他的消息。他告訴我：「我們都在尖叫『跑』，並告訴彼此要牽著手一起跑。」
當我與他們交談時，他們坐在那裡抽煙，試圖冷靜下來。他們看起來很悲傷。
倖存者都沒有得到醫療幫助，因為所有注意力都集中在仍被困的人身上。
隨著鑽孔聲越來越強烈，救援人員面臨漫長的夜晚。
雷切爾·哈根（Rachel Hagan）對本報道已有貢獻。",BBC News 中文,2025-03-30,https://ichef.bbci.co.uk/ace/ws/640/cpsprodpb/94bd/live/e9f1a480-0d14-11f0-ba12-8d27eb561761.jpg.webp,True
東南亞再傳地震 印尼周邊發生規模5.7地震,https://money.udn.com/money/story/5599/8647301,美國地質調查所（USGS）網站指出，台灣時間1日傍晚約6時15分，印尼摩鹿加（Maluku）附近發生規模5.7地震，震央位於東帝汶聖保羅（Lospalos）東北東方205公里，深度141公里。目前未有災情傳出。,經濟日報,2025-04-01,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/04/01/realtime/31763630.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600,True
緬甸7.7級強烈地震 至少81人失蹤、百人死亡,https://www.bbc.com/zhongwen/articles/c15q5v2n40no/trad,"緬甸週五（3月28日）發生了7.7級的強烈地震，震感遍及中國和泰國，其中泰國宣佈進入緊急狀態。
緬甸曼德勒的一名救援隊成員表示，此次地震的死亡人數尚不清楚，「但至少有數百人」。在泰國曼谷，一棟未完工的高樓倒塌，至少有81名建築工人失蹤。
自2021年軍政府發動政變奪取權力以來，緬甸一直處於政治動盪之中，獲取實地資訊的難度極高。",BBC News 中文,2025-03-28,https://ichef.bbci.co.uk/images/ic/512xn/p0l0yq7g.jpg.webp,True
BBC事實查核：緬甸軍政府淡化地震災情？,https://www.bbc.com/zhongwen/articles/cj9ejzxgr1jo/trad,"BBC事實查核團隊比對衛星照片，以及向重災區曼德勒的居民取得第一手資訊，嘗試拼湊實際災情的更具體畫面。
自2021年政變以來，緬甸政局持續動盪，令大地震後的救災工作更添難度。全國各地由軍政府與武裝民兵分別控制，外界在資訊受限的情況下，難以掌握災情全貌。
最新報導指，緬甸軍方在受災嚴重地區加強對叛軍的攻勢。軍政府官員則表示，他們正投入救援行動。然而，過去軍政府曾淡化自然災害的死亡數字。
BBC事實查核團隊比對衛星影像，並訪問重災區曼德勒的居民，試圖拼湊更具體的災情畫面。",BBC News 中文,2025-04-01,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/fd87/live/27ee2630-0e1b-11f0-b234-07dc7691c360.jpg.webp,True
走進緬甸震央曼德勒：瀰漫腐屍味的絕望之城,https://www.bbc.com/zhongwen/articles/c5y6g77305wo/trad,"在緬甸軍政府的限制之下，BBC記者只能通過暗訪形式前往受災最嚴重的曼德勒市，記錄強震留下的可怕創傷。
記者尤吉塔·利瑪耶（Yogita Limaye）報導說，這座曾經的皇家首都遭到了巨大破壞，街頭瀰漫著腐屍味，而面對巨大災難的人們卻得不到幫助。
由於救援人員匱乏，在黃金救援期結束後，仍有家人在絕望地等待救援人員，一些民眾只能徒手挖掘。醫院也已經不堪重負。",BBC News 中文,2025-04-03,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/4c2b/live/cd4cba00-0ec1-11f0-b234-07dc7691c360.jpg.webp,True
緬甸地震：死傷數千搜救緩慢 叛軍斥軍政府持續空襲,https://www.bbc.com/zhongwen/articles/cwy7wy222z8o/trad,"緬甸3月28日發生7.7級強烈地震後，多國派出救援隊伍搜索生還者，惟隨著黃金72小時過去進度仍然緩慢。緬甸軍政府表示，目前已有超過1700人喪生，數千人受傷，失蹤不計其數。美國地質調查局（USGS）根據震央位置和規模，評估「死亡人數極可能突破一萬人」。
緬甸自軍事政變後一直處於政治動盪及內戰狀態，軍政府限制網絡、通訊和新聞報導，令外界至今難以釐清當地的災情。反對派批評軍政府仍持續空襲，並擔憂當局會把國際援助僅留於軍政府控制地區。
BBC記者兵分多路採訪災情。BBC緬甸語組跋涉200英里，前往軍政府首府內比都，記錄震後災區滿目瘡痍的現況，當地有居民向記者表示「只能喝清水」和入住貧民窟。而在重災區、第二大城市曼德勒，佛寺瞬間成為了墓地。
而在泰國曼谷，一棟受地震波及倒塌的33層興建中大樓，仍有數十人失蹤。BBC採訪連日來焦慮等待消息的家屬，以及現場的最新情況。",BBC News 中文,2025-03-31,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/f3bd/live/618212a0-0d29-11f0-86c1-81dfc8040df8.jpg.webp,True
緬甸7.7強烈淺層地震！泰越印中都感搖晃屋倒橋斷傷亡不明| 國際,https://newtalk.tw/news/view/2025-03-28/962869,"當地時間2025年3月28日中午12時50分左右（台灣時間14時20分），緬甸中部發生規模7.7的強烈地震，震央位於薩加因（Sagaing）西北偏北16公里處，震源深度僅10公里。美國地質調查局（USGS）及德國地球科學研究中心（GFZ）均確認此次地震的強度與淺層特性，顯示其可能對地表造成顯著影響。目前，緬甸官方尚未發布具體傷亡或損失報告，但由於該國正處於內戰之中，相關資訊可能延遲。
根據當地及國際媒體報導，這次地震的震央靠近緬甸第二大城市曼德勒（Mandalay），當地居民表示感受到劇烈搖晃，部分建築出現搖晃現象。地震波及範圍廣泛，鄰國泰國、越南、印度及孟加拉等地均有震感傳出。其中，泰國首都曼谷距離震央約700公里，當地高樓搖晃明顯，大量民眾驚慌撤離建築物，街頭人群聚集，泳池水面甚至出現明顯波動。一名清邁居民向媒體表示：「我正在睡覺，聽到聲響後立刻穿著睡衣跑出門。」此外，印度德里首都圈（Delhi-NCR）及雲南、四川部分地區也報告有輕微震感，但未見顯著損壞。
專家指出，緬甸位於歐亞板塊與印度-澳洲板塊交界處，薩加因斷層（Sagaing Fault）是該國主要的地震活動帶之一。此次地震屬於淺層地震，能量釋放集中，可能引發較強烈的地面震動。日本氣象廳已確認，此次地震不會對日本沿海地區產生海嘯威脅。歷史數據顯示，緬甸平均每年發生約720次地震，其中7級以上地震約每4至5年一次，顯示該地區具一定地震風險。
由於緬甸當前政局動盪，通訊與救援系統可能受限，國際社會正密切關注後續發展。泰國當局已啟動緊急應變措施，檢查建築結構安全，並呼籲民眾保持警惕。隨著更多資訊陸續傳出，外界期待緬甸能盡快提供災情評估，以利國際援助展開。
緬甸中部28日中午發生規模7.7的強烈、淺層地震。   圖：翻攝「X」@deZabedrosky",Newtalk新聞,2025-03-28,https://images.newtalk.tw/resize_action2/800/album/news/963/67e64d12cd9c6.jpg,True
韓國史上最嚴重山林大火！4.5萬公頃森林毀滅已釀28死、逾4萬人撤離| 政治,https://newtalk.tw/news/view/2025-03-28/962838,"近日，韓國東南部的森林發生了該國歷史上最嚴重火災之一，火勢蔓延超過 70公里，並造成至少 28人死亡，65人受傷。這場災難對當地社會、環境和文化遺產造成深遠影響。根據韓國中央災難安全對策本部的數據，截至今（28）日，火災過火面積已達 48,150公頃，約佔首爾總面積的80%。這一數字已經超過了2000年東海岸森林火災的最大過火面積紀錄。
綜合多家外媒報導，火災自上週五爆發以來，迅速蔓延至慶尚北道的義城郡、安東市等地區。強風與乾燥的天氣條件加劇了火勢蔓延，並迫使約 40,000人逃離家園。儘管有小雨帶來一些緩解，火勢仍持續蔓延，消防隊員面臨著極大的挑戰。由於韓國地形多山，消防工作主要依賴直升機進行，但強風和煙霧限制了空中滅火的效果，部分地區甚至無法進行有效的空中滅火。
截至今日上午 6 時，韓國消防部門報告稱，災區傷亡人數已增加至 65人，其中 28人死亡，9人重傷，28人輕傷，另有 3.3萬餘人受災。當前仍有 8,078人安置在避難所中。房屋、農業設施等 3,481處設施受損。滅火工作也在積極進行中，其中義城郡的火勢撲滅了 95%，安東市為 85%，盈德郡 65%，英陽郡 76%，青松郡 89%，慶尚南道山清和河東郡則有 85%的火勢被撲滅。
儘管政府全力投入救援工作，目前已調動了 126架直升機、6,976名消防員和 963台滅火設備，但部分地區的火勢依然無法完全控制，特別是在盈德郡，火勢在不到 12小時內便蔓延至 70公里外，並且目前仍有近三分之一區域在燃燒。
火災不僅造成了大量人員傷亡和財產損失，還對當地的文化遺產造成了毀滅性打擊。位於安東市的古雲寺等歷史文化遺址面臨火焰威脅，其中一些重要建築已經被燒毀，部分國寶級文物也未能倖免。當局已展開調查，懷疑這些火災可能與人為失誤有關。
隨著火勢的持續蔓延，韓國政府已經強調，目前的森林火災應對措施存在不足，並呼籲進行全面改革以應對日益嚴峻的氣候變遷挑戰。專家指出，這場火災的蔓延速度和規模反映了全球應對森林火災能力的不足。隨著氣候變遷的加劇，未來此類災難可能會更加頻繁和致命，這場火災無疑提醒了全球社會在氣候危機面前應該更加緊迫地進行應對。
美國政府已表示對韓國的支持，並願意提供協助。
強風與乾燥的天氣條件使火勢迅速擴大，並迫使近40,000人逃離家園。   圖:翻攝自X帳號@UgonnaMario",Newtalk新聞,2025-03-28,https://images.newtalk.tw/resize_action2/800/album/news/963/67e62d7139389.jpg,True
