代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％
165,摩根ＪＰＭ環球天然資源基金(本基金之配息來源可能為本金),積極型,歐元,全球,國外,天然資源,國外-天然資源,年配,19.21,0.19,0.71,0,0,847百萬(美元),2005/3/14,0.61,-0.12,5.37,9.63,12.77,4.83,16.03,62.49
166,摩根可持續基建基金－配權,積極型,美元,全球,國外,房地產,國外-房地產,季配,15.19,0.12,0.95,0.26,0.02,12百萬(美元),2005/7/18,1.97,-3.45,-3.8,1.31,6.43,0.52,-11.02,-13.08
169,摩根ＪＰＭ新興市場債券─歐元對沖Ａ股配現(本基金有相當比重投資於非投資等級之高風險債券),穩健型,歐元,新興市場,國外,債券型,國外-債券型,年配,4.91,0.42,0.86,0,0,"1,254百萬(美元)",1997/3/14,1.22,1.57,1.71,1.75,8.55,13.4,-6.65,-14.27
173,摩根基金－美國複合收益債券(美元分派)(本基金之配息來源可能為本金),保守型,美元,美國,國外,債券型,國外-債券型,年配,4.69,0.16,0.96,0.18,0.02,"4,884百萬(美元)",2000/9/15,0.9,0.54,-1.18,0.9,3.73,6.06,-3.63,-4.31
174,摩根ＪＰＭ中國基金(本基金之配息來源可能為本金),積極型,美元,中國,國外,股票型,國外-股票型,年配,35.15,0.26,1.03,-0.26,-0.18,"3,301百萬(美元)",1994/7/4,14.08,10.16,27.62,12.18,31.27,-10.48,-25.05,-11.12
176,摩根ＪＰＭ全方位新興市場基金(本基金之配息來源可能為本金),積極型,美元,新興市場,國外,股票型,國外-股票型,年配,13.1,0.16,0.89,-0.55,-0.23,"4,720百萬(美元)",1994/4/13,4.5,4.71,1.74,5.8,8.05,6.46,-10.46,-0.27
178,摩根ＪＰＭ環球天然資源基金－美元,積極型,美元,全球,國外,天然資源,國外-天然資源,無,19.12,0.14,0.65,0.07,0.01,847百萬(美元),2006/9/12,2.01,-0.98,-0.91,10,8.82,2.9,6.77,56.97
180,摩根ＪＰＭ新興市場債券─歐元對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,新興市場,國外,債券型,國外-債券型,月配,4.81,0.43,0.84,0,0,"1,254百萬(美元)",2008/9/17,1.25,1.65,1.79,1.93,8.56,13.44,-6.69,-14.34
181,摩根ＪＰＭ新興市場本地貨幣債券基金,穩健型,美元,新興市場,國外,債券型,國外-債券型,無,9.99,0.02,1.6,0.24,0.04,932百萬(美元),2008/1/24,2.53,1.67,-1.85,3.09,1.37,9.81,-0.29,-1.73
182,摩根ＪＰＭ新興市場本地貨幣債券─美月配息(本基金之配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,國外-債券型,月配,9.9,0.02,1.59,0.34,0.02,932百萬(美元),2009/11/20,2.55,1.82,-1.73,3.16,1.42,9.8,-0.25,-1.67
183,摩根ＪＰＭ新興市場債券基金─美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,國外-債券型,月配,4.85,0.53,0.85,0.11,0.01,"1,254百萬(美元)",2010/2/22,1.37,2.1,2.67,2.06,10.42,17.97,0.74,-5.14
184,摩根ＪＰＭ環球非投資等級債券基金(歐元)(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,歐元,全球,國外,非投資等級債券,國外-非投資等級債券,無,3.61,0.59,0.99,0.09,0.24,"5,619百萬(美元)",2000/3/24,0.66,1.08,3.34,1.26,8.86,15.7,6.97,8.06
185,摩根ＪＰＭ環球非投資等債基金(美元累計)(本基金主要投資於符合美國Rule 144A規定之私募性質債券),穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,無,3.61,0.72,0.99,0.11,0.24,"5,619百萬(美元)",2008/9/2,0.8,1.47,4.17,1.48,10.67,20.02,14.2,18.03
186,摩根ＪＰＭ環球非投資等級債基金－美元月現(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,月配,3.61,0.72,0.99,0.1,0.08,"5,619百萬(美元)",2008/9/17,0.81,1.47,4.17,1.48,10.68,20.04,14.21,18.04
188,摩根ＪＰＭ美國複合收益債券(美元)月配現(本基金之配息來源可能為本金),保守型,美元,美國,國外,債券型,國外-債券型,月配,4.76,0.16,0.98,0.24,0.02,"4,884百萬(美元)",2010/4/6,0.92,0.55,-1.19,0.86,3.75,6.11,-3.65,-4.31
189,摩根ＪＰＭ多重收益基金－美元季配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,國外-平衡型,季配,5.8,0.47,0.56,0.1,0.13,"18,392百萬(美元)",2012/1/13,1.56,2.14,3.09,2.76,11,17,9.71,17.2
190,摩根ＪＰＭ多重收益基金－歐元季配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,歐元,全球,國外,平衡型,國外-平衡型,季配,5.83,0.38,0.56,0.09,0.1,"18,392百萬(美元)",2008/12/11,1.39,1.69,2.22,2.5,9.09,12.52,2.42,7.17
191,摩根ＪＰＭ多重收益基金－美元月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,國外-平衡型,月配,5.81,0.47,0.56,0.1,0.12,"18,392百萬(美元)",2012/8/31,1.55,2.12,3.06,2.75,10.97,16.93,9.62,17.04
192,摩根ＪＰＭ亞太入息基金－美元月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,亞太,國外,平衡型,國外-平衡型,月配,7.58,0.3,0.6,0.04,0.04,"1,249百萬(美元)",2012/5/25,2.62,2.27,2.38,2.76,9.29,12.54,1.81,15.19
193,摩根ＪＰＭ環球非投資等債澳幣月現利率入息(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,澳幣,全球,國外,非投資等級債券,國外-非投資等級債券,月配,3.75,0.63,1.03,0.14,0.01,"5,619百萬(美元)",2013/3/12,0.79,1.48,3.96,1.58,9.76,17.18,9.49,10.79
194,摩根ＪＰＭ多重收益－澳幣月現利率入息(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,全球,國外,平衡型,國外-平衡型,月配,5.78,0.41,0.56,0.11,0.01,"18,392百萬(美元)",2013/3/28,1.51,1.91,2.63,2.69,9.71,13.61,4.52,9.24
196,摩根ＪＰＭ歐洲小型企業基金(美元),積極型,美元,歐洲,國外,中小型股,國外-中小型股,無,14.41,0.23,0.98,0.17,0.38,357百萬(美元),2013/10/29,5.83,8.02,0.32,7.23,12.2,14.85,-4.87,11.45
197,摩根ＪＰＭ歐洲動力基金(美元),穩健型,美元,歐洲,國外,股票型,國外-股票型,無,15.59,0.22,1.06,0.19,0.42,625百萬(美元),2013/10/23,7.31,8.82,2.23,10.95,12.49,22.19,19,40.6
199,摩根ＪＰＭ日本基金(累計)(盧森堡註冊),穩健型,日圓,日本,國外,股票型,國外-股票型,無,14.06,0.32,1.02,-1.33,-31,"2,724百萬(美元)",2006/1/11,2.72,4.73,10.68,0.57,17.1,50.98,47.69,80.05
01A1,摩根ＪＰＭ日本基金(美元對沖)累計盧森堡,穩健型,美元,日本,國外,股票型,國外-股票型,無,14.25,0.41,1.03,-1.32,-4.68,"2,724百萬(美元)",2013/12/6,3.19,5.97,13.44,1.25,22.43,66.51,68.53,106.09
01A2,摩根ＪＰＭ美國基金(澳幣)－Ａ股(累計),穩健型,澳幣,美國,國外,股票型,國外-股票型,無,8.23,0.75,0.31,-0.55,-0.32,"8,675百萬(美元)",2013/7/22,-2.54,3.63,12.94,0,24.81,67.72,59.42,99.59
01A3,摩根ＪＰＭ歐洲動力基金(澳幣)－Ａ股累計,穩健型,澳幣,歐洲,國外,股票型,國外-股票型,無,11.97,0.35,0.75,0.09,0.02,625百萬(美元),2013/11/22,6.26,9.59,7.92,10.6,15.95,23.57,29.63,43.44
01A5,摩根ＪＰＭ多重收益基金－美元對沖累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國外,平衡型,國外-平衡型,無,5.81,0.47,0.56,0.1,0.24,"18,392百萬(美元)",2012/5/30,1.55,2.13,3.07,2.76,10.98,16.95,9.65,17.11
01A6,摩根ＪＰＭ環球醫療科技基金－美元累計,穩健型,美元,全球,國外,健康護理股,國外-健康護理股,無,14.33,-0.05,0.96,0.78,3.85,"3,879百萬(美元)",2009/10/2,3.86,2.93,-9.6,6.88,-1.97,6.95,7.12,25.72
01A7,摩根ＪＰＭ亞太股票基金─美元累計,積極型,美元,亞太,國外,股票型,國外-股票型,無,13.65,0.28,1,-0.58,-0.17,"1,320百萬(美元)",2009/9/9,5.59,5.7,4.9,5.78,14.31,15.5,-0.07,24.29
01A8,摩根ＪＰＭ新興市場債券Ａ澳幣月現利率入息(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,國外-債券型,月配,4.77,0.47,0.85,0.19,0.01,"1,254百萬(美元)",2013/3/12,1.46,1.99,2.3,2.11,9.25,14.83,-4.27,-12.35
01A9,摩根ＪＰＭ歐洲策略股息(美元對沖)Ａ股累(本基金無保證收益),穩健型,美元,歐洲,國外,股票型,國外-股票型,無,10.14,0.52,0.62,0.14,0.36,538百萬(美元),2014/9/12,4.09,9.29,9.21,8.75,20.92,30.82,37.98,45.09
01B1,摩根ＪＰＭ歐洲策略股息美元對沖－Ａ股月配(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,國外-股票型,月配,10.14,0.52,0.62,0.14,0.24,538百萬(美元),2013/11/6,4.09,9.29,9.23,8.76,20.96,30.95,38.13,45.36
01B2,摩根ＪＰＭ歐洲策略股息(歐元)－Ａ股累計(本基金無保證收益),穩健型,歐元,歐洲,國外,股票型,國外-股票型,無,9.58,0.53,0.6,0.16,0.5,538百萬(美元),2005/2/24,4.59,9,9.18,8.66,19.86,28.74,30.84,36.61
01B3,摩根ＪＰＭ環球股息基金(美元)－Ａ股累計(本基金無保證收益),穩健型,美元,全球,國外,股票型,國外-股票型,無,10.54,0.29,0.96,0.36,0.88,"5,723百萬(美元)",2007/11/28,3.26,4.3,3.01,6,12.02,22.28,21.06,57.53
01B4,摩根ＪＰＭ環球股息(美元對沖)－Ａ股月配(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,全球,國外,股票型,國外-股票型,月配,9.59,0.37,0.85,0.28,0.53,"5,723百萬(美元)",2014/9/15,2.69,4.48,4.78,5.65,13.8,25.54,28.51,66.8
01B5,摩根ＪＰＭ亞太入息－澳幣對沖Ａ股月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,澳幣,亞太,國外,平衡型,國外-平衡型,月配,7.66,0.26,0.61,0.12,0.01,"1,249百萬(美元)",2013/10/7,2.6,2.11,1.94,2.68,8.03,9.16,-3.35,6.46
01B6,摩根日本(日圓)(美元對沖)(累計)香港,積極型,美元,日本,國外,股票型,國外-股票型,無,14.1,0.4,1.02,-1.28,-0.6,411百萬(美元),2013/8/1,2.86,5.48,12.76,0.96,21.8,64.53,65.88,105.13
01B7,摩根ＪＰＭ歐洲小型企業(美元對沖)累計,穩健型,美元,歐洲,國外,中小型股,國外-中小型股,無,10.23,0.42,0.65,0.02,0.05,357百萬(美元),2015/10/14,4.57,8.6,6.16,6.6,16.9,19.14,10.78,25.04
01B8,摩根ＪＰＭ策略總報酬(歐元)Ａ股(累計)(本基金有相當比重投資於非投資等級之高風險債券),穩健型,歐元,全球,國外,平衡型,國外-平衡型,無,5.75,0.18,-0.31,-0.65,-1.27,"2,061百萬(美元)",1998/10/23,-0.05,0.49,0.74,-0.01,4.72,1.34,-4.32,-1.12
01B9,摩根ＪＰＭ策略總報酬(美元對沖)Ａ股累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,全球,國外,平衡型,國外-平衡型,無,5.76,0.25,-0.31,-0.63,-1.01,"2,061百萬(美元)",2015/2/5,0.12,0.88,1.47,0.22,6.23,4.57,1.31,6.56
01C1,摩根ＪＰＭ美國基金(美元)－Ａ股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,國外-股票型,年配,8.11,0.66,0.74,-0.01,-0.06,"8,675百萬(美元)",1988/11/16,0.21,1.96,7.02,2.61,21.39,56.96,41.66,93.12
01C2,摩根ＪＰＭ歐洲動力基金(歐元)－Ａ股(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,股票型,國外-股票型,年配,12,0.36,0.75,0.07,0.02,625百萬(美元),2000/12/8,6.98,9.69,8.65,10.52,16.61,25.06,29.33,45.71
01C3,摩根ＪＰＭ全球成長(美元)Ａ股(本基金之配息來源可能為本金),穩健型,美元,全球,國外,股票型,國外-股票型,年配,11.39,0.44,0.99,-0.02,-0.01,542百萬(美元),1988/11/16,1.59,3.95,5.02,3.46,19.39,60.61,33.3,53.12
01C5,摩根ＪＰＭ美國小型企業基金(美元)Ａ股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,國外-股票型,年配,10.89,0.21,0.52,-0.54,-1.84,998百萬(美元),1988/11/16,-1.57,-1.85,3.99,2.48,8.8,7.74,8.1,25.8
01C8,摩根基金－美國科技(美元分派)(本基金之配息來源可能為本金),積極型,美元,美國,國外,股票型,國外-股票型,年配,12.72,0.52,0.96,-2.59,-1.65,"7,589百萬(美元)",1997/12/5,3.65,10.25,20.31,7.77,26.32,92.54,54.39,126.37
01C9,摩根ＪＰＭ美國價值基金(美元)－Ａ股(本基金之配息來源可能為本金),穩健型,美元,美國,國外,股票型,國外-股票型,年配,11.03,0.38,0.61,0.35,0.17,"3,964百萬(美元)",2000/10/20,1.65,0.25,6.65,5.72,16.28,25.2,24.21,54.71
01D2,摩根ＪＰＭ歐洲小型基金(歐元)－Ａ股(本基金之配息來源可能為本金),積極型,歐元,歐洲,國外,中小型股,國外-中小型股,年配,10.46,0.4,0.67,0.06,0.06,357百萬(美元),1994/4/18,5.52,8.89,6.63,6.82,16.36,17.63,3.48,15.73
01D3,摩根ＪＰＭ拉丁美洲基金(美元)－Ａ股(本基金之配息來源可能為本金),積極型,美元,拉丁美洲,國外,股票型,國外-股票型,年配,20.5,-0.16,0.94,-0.14,-0.06,335百萬(美元),1992/5/13,9.29,3.75,-4.42,13.64,-11.56,10.6,11.29,0.72
01D5,摩根ＪＰＭ策略總報酬－澳幣對沖Ａ股累計(本基金有相當比重投資於非投資等級之高風險債券),穩健型,澳幣,全球,國外,平衡型,國外-平衡型,無,5.79,0.22,-0.32,-0.64,-0.08,"2,061百萬(美元)",2016/1/20,0.08,0.81,1.31,0.24,5.71,3.33,-1.04,3.59
01D9,摩根ＪＰＭ多重收益基金Ａ－美對沖利率月配(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,國外-平衡型,月配,5.83,0.46,0.56,0.12,0.01,"18,392百萬(美元)",2018/3/26,1.48,2.09,3.03,2.72,10.93,16.91,9.58,16.88
1,摩根ＪＰＭ環球債券收益基金Ａ－美元累積,穩健型,美元,全球,國外,債券型,國外-債券型,無,2.19,0.74,0.38,0.07,0.09,11041百萬(美元),2014/6/2,0.64,1.68,2.59,1.2,6.99,11.57,5.53,6.7
10,摩根ＪＰＭ環球債券收益基金Ａ－美元月配現(本基金之配息來源可能為本金),穩健型,美元,全球,國外,債券型,國外-債券型,月配,2.14,0.75,0.38,0,0,11041百萬(美元),2014/12/19,0.64,1.69,2.46,1.17,6.92,11.5,5.47,6.62
100,摩根ＪＰＭ美國複合收益債基金Ａ－美元累積,保守型,美元,美國,國外,債券型,國外-債券型,無,4.73,0.16,0.97,0.17,0.03,"4,884百萬(美元)",2005/3/31,0.87,0.58,-1.19,0.87,3.74,6.08,-3.64,-4.28
1000,摩根ＪＰＭ環球非投資等債基金Ａ－美元月現(本基金主要投資於符合美國Rule 144A規定之私募性質債券且本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,國外-非投資等級債券,月配,3.61,0.72,0.99,0.1,0.08,"5,619百萬(美元)",2020/11/2,0.8,1.46,4.16,1.48,10.66,19.97,14.11,
10000,摩根ＪＰＭ新興市場債券基金Ａ－美元月配現(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,國外-債券型,月配,4.8,0.53,0.84,0.08,0.05,"1,254百萬(美元)",2020/11/2,1.36,2.04,2.61,2.09,10.42,17.92,0.62,
100000,摩根ＪＰＭ新興市場投資級債券基金Ａ美累積,穩健型,美元,新興市場,國外,債券型,國外-債券型,無,4.87,0.22,0.97,0.14,0.2,493百萬(美元),2010/11/29,1.45,0.53,-0.71,1.23,4.94,8.41,-3.52,
1000000,摩根ＪＰＭ新興市場投資級債券基金Ａ美月配(本基金之配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,國外-債券型,月配,4.88,0.22,0.98,0.13,0.1,493百萬(美元),2014/1/15,1.45,0.52,-0.73,1.22,4.92,8.35,-3.63,
10000000,摩根ＪＰＭ多重收益基金Ａ美元對沖穩定月配(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,全球,國外,平衡型,國外-平衡型,月配,5.81,0.47,0.56,0.09,0.07,"18,392百萬(美元)",2021/7/2,1.54,2.11,3.05,2.74,10.95,16.87,9.51,
100000000,摩根ＪＰＭ中國基金Ａ－美元累積,積極型,美元,中國,國外,股票型,國外-股票型,無,35.14,0.26,1.03,-0.27,-0.12,"3,301百萬(美元)",2005/3/31,14.1,10.18,27.65,12.19,31.27,-10.46,-25.03,-11.12
1000000000,摩根ＪＰＭ美國科技基金Ａ－美元累積,積極型,美元,美國,國外,股票型,國外-股票型,無,12.73,0.52,0.97,-2.59,-3.28,"7,589百萬(美元)",2005/3/31,3.65,10.26,20.3,7.78,26.31,92.52,54.41,126.42
01F6,摩根ＪＰＭ全球成長基金美元累計Ａ股,穩健型,美元,全球,國外,股票型,國外-股票型,無,11.39,0.44,0.99,-0.03,-0.01,542百萬(美元),2005/3/31,1.58,3.95,5,3.44,19.38,60.61,33.29,53.09
01F8,摩根ＪＰＭ多重收益基金Ａ日幣對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,日圓,全球,國外,平衡型,國外-平衡型,月配,,,,0.06,6,"18,392百萬(美元)",2024/8/1,1.09,0.75,0.34,2.03,,,,
201,富達永續發展日本股票基金(Ａ股日圓),穩健型,日圓,日本,國外,股票型,國外-股票型,年配,15.4,0.05,0.86,-0.12,-0.4,"48,812百萬(日圓)",1990/10/1,-1.71,-1.14,1.19,-3.44,2.75,27.56,30.15,57.56
202,富達永續發展亞洲股票基金(Ａ股美元),積極型,美元,亞洲,國外,股票型,國外-股票型,年配,16.68,0.19,1.08,0.93,0.1,"2,650百萬(美元)",1990/10/1,6.93,3.35,6.61,5.68,11.56,2.96,-11.18,7.7
203,富達歐洲基金(Ａ股歐元),穩健型,歐元,歐洲,國外,股票型,國外-股票型,年配,10.15,0.56,0.58,0.23,0.05,"7,379百萬(歐元)",1990/10/1,4.82,8.24,12.36,7.97,22.68,33.34,29.15,30.91
204,富達美國基金(Ａ股美元),穩健型,美元,美國,國外,股票型,國外-股票型,無,10.2,0.24,0.57,-0.18,-0.03,"3,161百萬(美元)",1990/10/1,-1.4,-2.15,2.62,3,9.7,21.84,16.69,50.18
205,富達德國基金(Ａ股歐元),穩健型,歐元,德國,國外,股票型,國外-股票型,年配,10.6,0.6,0.56,-0.33,-0.26,661百萬(美元),1990/10/1,4.17,12.48,18.11,9.17,25.31,31.8,32.96,30.63
206,富達東協基金(Ａ股美元),積極型,美元,東協,國外,股票型,國外-股票型,年配,14.08,0.19,0.75,0.11,0.04,"1,009百萬(美元)",1990/10/1,0.45,-1.57,-0.03,0.34,10.01,8.74,3.06,17.93
209,富達南歐基金(Ａ股歐元),穩健型,歐元,南歐,國外,股票型,國外-股票型,年配,12.43,0.42,0.74,0.09,0.1,168百萬(歐元),1990/10/1,4.45,8.34,9.74,8.13,20.32,49.24,54.35,34.17
210,富達義大利基金(Ａ股歐元),積極型,歐元,義大利,國外,股票型,國外-股票型,年配,14.34,0.34,0.97,0.61,0.4,311百萬(歐元),1990/10/1,7.05,15.38,14.32,11.7,18.72,34.71,45.78,74.83
211,富達北歐基金(Ａ股瑞典幣),穩健型,瑞典幣,北歐,國外,股票型,國外-股票型,年配,12.8,0.26,0.36,-0.27,-6,409百萬(美元),1990/10/1,0.68,2.68,0.23,4.36,12.53,18.49,35.37,72.62
214,富達歐元債券基金(Ａ股歐元)－配權,保守型,歐元,歐洲,國外,債券型,國外-債券型,年配,3.09,0.3,0.37,0.48,0.06,"1,248百萬(歐元)",1990/10/1,0.56,-0.24,0.08,-0.32,4.5,8.74,-8.06,-9.4
216,富達澳洲多元股票基金(Ａ股澳幣),積極型,澳幣,澳洲,國外,股票型,國外-股票型,年配,8.16,0.56,0.91,-0.5,-0.49,528百萬(澳幣),1991/12/6,0.37,1.08,8.64,4.32,18.21,20.11,27.48,42.88
221,富達泰國基金(Ａ股美元),積極型,美元,泰國,國外,股票型,國外-股票型,年配,20.32,-0.05,1.17,0.33,0.12,133百萬(美元),1990/10/1,-3.79,-9.46,-5.1,-6.79,-3.9,-20.29,-25.66,-23.09
223,富達全球債券基金(Ａ股美元),保守型,美元,全球,國外,債券型,國外-債券型,年配,6.81,0.03,1.3,0.2,0,"1,510百萬(美元)",1990/10/1,1.18,0.69,-3.39,1.58,1.78,2.56,-12.07,-9.81
224,富達新興市場基金(Ａ股美元),積極型,美元,新興市場,國外,股票型,國外-股票型,年配,15.2,0.15,0.98,0.37,0.11,"3,108百萬(美元)",1993/10/18,5.21,2.5,-0.73,4.66,8.29,10.66,-18.7,-1.15
225,富達拉丁美洲基金(Ａ股美元),積極型,美元,拉丁美洲,國外,股票型,國外-股票型,年配,19.84,-0.17,0.92,-1.53,-0.44,248百萬(美元),1994/5/9,7.49,4.66,-6.27,14.59,-11.66,2.52,-3.58,-13.12
226,富達太平洋基金(Ａ股美元),積極型,美元,亞太,國外,股票型,國外-股票型,年配,14.59,0.24,1.03,1.51,0.62,781百萬(美元),1994/1/10,6.77,8.43,10.79,7.93,13.16,11.74,-5.18,13.5
229,富達印尼基金(Ａ股美元),積極型,美元,印尼,國外,股票型,國外-股票型,年配,21.87,-0.21,1.37,-0.55,-0.12,205百萬(美元),1994/12/5,-5.79,-10.68,-16.91,-8.05,-15.67,-12.16,-13.06,-15.11
231,富達全球主題機會基金(Ａ股美元),穩健型,美元,全球,國外,股票型,國外-股票型,年配,11.29,0.33,1.1,-0.09,-0.07,"1,658百萬(美元)",1991/12/31,1.44,3.47,4.46,4.85,14.3,25.46,14.01,27.23
232,富達歐洲小型企業基金(Ａ股歐元),穩健型,歐元,歐洲,國外,中小型股,國外-中小型股,年配,12.09,0.17,0.6,0.45,0.31,"1,140百萬(歐元)",1995/12/1,3.23,5.13,1.03,3.63,7.82,8.62,1.81,15.22
234,富達美國成長基金(Ａ股美元),穩健型,美元,美國,國外,股票型,國外-股票型,無,10.51,0.32,0.87,-0.51,-0.49,955百萬(美元),1997/6/30,-3.69,-3.67,0.91,-1.04,13.08,21.4,14.74,48.89
235,富達瑞士基金(Ａ股瑞士法郎),穩健型,瑞郎,瑞士,國外,股票型,國外-股票型,年配,13.69,0.23,0.94,0.58,0.47,226百萬(瑞郎),1995/2/13,4.87,11.5,5.44,10.38,12.04,12.28,5.53,13.34
243,富達世界基金(Ａ股歐元),穩健型,歐元,全球,國外,股票型,國外-股票型,年配,8.84,0.55,0.62,0.02,0.01,"5,388百萬(美元)",1996/9/6,0.07,3.4,12.4,3.42,19.15,36.96,31.68,53.79
244,富達美元債券基金(Ａ股美元)－配權,保守型,美元,全球,國外,債券型,國外-債券型,半年配,5.43,0.12,1.07,0.27,0.02,"5,655百萬(美元)",1990/11/12,1.02,0.75,-2.06,1.22,3.35,4.39,-5.87,-2.89
245,富達歐洲非投資等級債券基金(Ａ股歐元)權(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,非投資等級債券,國外-非投資等級債券,年配,2.26,0.96,0.4,0.05,0.01,"2,482百萬(歐元)",2000/6/26,1.47,2.68,5.18,1.69,9.04,18.47,11.18,10.74
246,富達歐洲非投資等級債券基金(Ａ股歐元)現(本基金之配息來源可能為本金),穩健型,歐元,歐洲,國外,非投資等級債券,國外-非投資等級債券,月配,2.25,0.95,0.39,0,0,"2,482百萬(歐元)",2003/6/9,1.48,2.63,5.17,1.67,8.99,18.47,11.11,10.73
247,富達歐元債券基金(Ａ股月配息歐元),保守型,歐元,歐洲,國外,債券型,國外-債券型,月配,3.09,0.3,0.37,0.48,0.05,"1,248百萬(歐元)",2003/6/6,0.54,-0.26,0.08,-0.34,4.5,8.74,-8.13,-9.42
